degrees , closeness , betweenness
241244, 3, 1.47577515089801e-05, 111.255357944987 
249402, 1, 1.19010782376883e-05, 0 
2545800, 5, 1.38475386000138e-05, 299.578118581391 
2582914, 1, 9.73946919892866e-06, 0 
2601695, 1, 7.45089857836855e-06, 0 
2681470, 2, 1.31525298891242e-05, 177.690113207132 
2708340, 4, 1.53120597782814e-05, 10931.1684060329 
2732590, 5, 1.37204324680314e-05, 3116.87354436749 
2767886, 3, 1.31082214765101e-05, 28873.4868830862 
2781774, 5, 1.48445038224597e-05, 10621.4065956897 
2831896, 8, 1.5165071806615e-05, 48434.9082083939 
2840180, 3, 1.63185378590078e-05, 7.18799592618399 
2925838, 3, 1.3599336352386e-05, 490.803190677027 
2946794, 1, 1.0352502717532e-05, 0 
2948573, 2, 1.43837291256131e-05, 199.845485424828 
2956211, 4, 1.48493533106633e-05, 187.356533021936 
2956352, 1, 1.19233566633679e-05, 0 
2983232, 2, 1.29939318338336e-05, 29.123335443557 
3041619, 5, 1.58954713802038e-05, 303.766110410427 
32025, 12, 1.521861541037e-05, 18599.2770390066 
34105, 18, 1.45630361017665e-05, 34595.673007825 
35818, 6, 1.35242963984799e-05, 11179.7831295704 
386487, 17, 1.51515151515152e-05, 8141.46609271758 
41673, 4, 1.45598555662328e-05, 518.093365814683 
46541, 2, 1.28078691548087e-05, 52.7114703882633 
51664, 5, 1.52494815176284e-05, 15548.706359039 
529881, 6, 1.40753877769333e-05, 17733.2703422631 
57037, 2, 1.32589066705559e-05, 94.6443111304815 
630749, 1, 9.29679074783385e-06, 0 
633807, 3, 1.53043265331109e-05, 256.708228390231 
651456, 4, 1.32018429772796e-05, 19548.3409099318 
700220, 1, 1.4425226836692e-05, 0 
70255, 11, 1.52404175874419e-05, 6278.0466349346 
712362, 3, 1.42610630196375e-05, 0 
83555, 3, 1.5017946446003e-05, 27.2647848778145 
83558, 8, 1.41837935974356e-05, 1425.90109262996 
85991, 7, 1.45277043321614e-05, 2156.77915671308 
909929, 1, 1.11134572854269e-05, 0 
113107, 1, 1.50233613268633e-05, 0 
114090, 6, 1.54518905388074e-05, 8463.60857227078 
115778, 2, 1.29003960421585e-05, 1206.26214050757 
1193515, 2, 1.20721917064043e-05, 58.6949254527034 
1218494, 1, 1.30123617436565e-05, 0 
123841, 16, 1.47629803504732e-05, 63572.105998901 
1415657, 6, 1.37598899208806e-05, 33815.196248873 
1439319, 1, 1.48579579222632e-05, 0 
1476901, 1, 1.30315232547532e-05, 0 
1505596, 17, 1.54801157912661e-05, 19386.6819383516 
1594731, 2, 1.18252232010879e-05, 1261.06299382884 
1647, 30, 1.62077181153665e-05, 32236.2950501363 
1659192, 9, 1.41304808602637e-05, 52497.2724978462 
1660079, 13, 1.55441219902694e-05, 3120.43307155426 
1703960, 2, 1.49131310118559e-05, 81.6726232867328 
1902580, 10, 1.4605149775811e-05, 9254.56970445742 
1917158, 4, 1.65752266662247e-05, 4664.25922836785 
1935204, 4, 1.30871209642591e-05, 97238.9341784176 
1945657, 1, 1.44822592324403e-05, 0 
2003370, 7, 1.46788990825688e-05, 10262.2505599876 
223919, 13, 1.45666423889294e-05, 93773.4338234516 
2282419, 4, 1.32925694536754e-05, 40659.1421966316 
2561898, 7, 1.51347751729148e-05, 1443.17699287441 
2732594, 2, 1.40455356265011e-05, 0 
2740404, 3, 1.67050883699175e-05, 5111.13089084545 
2740405, 20, 1.58420860858958e-05, 70885.8982298482 
2799680, 4, 1.28170620730316e-05, 1289.24146006009 
2831895, 1, 1.30226985635963e-05, 0 
2892440, 6, 1.58498700310657e-05, 715.387707837117 
2894202, 6, 1.6026668376178e-05, 7075.8502439729 
29292, 2, 1.32976955093682e-05, 3281.00710807211 
2946160, 1, 1.18006631972717e-05, 0 
3026145, 3, 1.41570870377711e-05, 86.9890277443714 
3031803, 2, 1.36479644061088e-05, 122.178047243326 
3034029, 5, 1.48720999405116e-05, 11853.6580379229 
3051419, 3, 1.18165597268011e-05, 19767.1638355952 
392416, 2, 1.1787448724598e-05, 19218 
415095, 3, 1.42233348030779e-05, 9066.39398690781 
44822, 1, 1.14069308511852e-05, 0 
46632, 2, 1.441171384101e-05, 9610 
51161, 11, 1.58403294788532e-05, 3926.6881809932 
51367, 2, 1.49909304870553e-05, 8.27284713714046 
548913, 5, 1.36554191530909e-05, 19908.4660151263 
583357, 10, 1.37623517106603e-05, 28689.9266546305 
643214, 2, 1.50845488965652e-05, 69.4265814163028 
650378, 1, 1.30531262237306e-05, 0 
717609, 5, 1.54762825969202e-05, 1091.62611168443 
739, 1, 1.33890317052271e-05, 0 
788, 8, 1.56220708617134e-05, 28422.758305375 
81852, 7, 1.49253731343284e-05, 14946.3310813921 
83560, 2, 1.39655052021507e-05, 295.494121764575 
85108, 6, 1.46406453596475e-05, 1500.88982946268 
109790, 3, 1.42108030524805e-05, 1390.73505290095 
144, 2, 1.15972955106869e-05, 9610 
1443036, 12, 1.67467720596855e-05, 40601.9369398355 
1501226, 1, 1.07449471885846e-05, 0 
1573704, 12, 1.49260414645432e-05, 43423.4340528853 
1648, 6, 1.42158535198453e-05, 14736.0774166137 
165779, 6, 1.46442901912544e-05, 21302.9219053767 
187452, 21, 1.51425672708551e-05, 30809.1092573348 
1882662, 6, 1.35358293402637e-05, 3305.04467532138 
1940621, 2, 1.40761802877171e-05, 48.6012538496868 
1967782, 5, 1.42486677495654e-05, 1356.77762404715 
1983734, 1, 1.22845595371178e-05, 0 
2005262, 9, 1.47830586148274e-05, 12266.200912754 
2058133, 2, 1.36559785874256e-05, 32.4685957925725 
2098, 3, 1.34954587781212e-05, 9703.56717498009 
2276, 4, 1.48572956750412e-05, 969.917259137853 
2287, 1, 1.19233566633679e-05, 0 
2303505, 5, 1.37338112699655e-05, 18600.7190447096 
2500132, 2, 1.40839119473825e-05, 2170.7699281826 
2560485, 6, 1.37130946340661e-05, 704.947707134126 
2592653, 4, 1.45032632342277e-05, 112541.002568599 
2719987, 6, 1.32142290818754e-05, 2768.98636607879 
2733115, 1, 1.15271117668757e-05, 0 
2734292, 2, 1.32796834123474e-05, 9610 
2751176, 8, 1.39240858837617e-05, 6057.11441133192 
2778051, 2, 1.42789827652678e-05, 27.1170831320074 
2778055, 2, 1.42413626135749e-05, 63.568507565549 
2824673, 6, 1.33100850514435e-05, 96421.9773666796 
2845253, 1, 1.44881342180754e-05, 0 
2845816, 1, 1.3836042891733e-05, 0 
2879107, 10, 1.63108189662203e-05, 7826.72131953652 
2884832, 2, 1.36065529158843e-05, 58.0207310544049 
29519, 5, 1.45047357962375e-05, 886.717148403835 
2955990, 1, 1.15970265223997e-05, 0 
2983208, 2, 1.28415861927265e-05, 268.26887057185 
2991499, 2, 1.27919768721058e-05, 129.838380497274 
3050348, 4, 1.4573010784028e-05, 5297.23492698064 
315393, 8, 1.33400923134388e-05, 12505.7488411804 
342949, 5, 1.26542233470421e-05, 95350.1175802851 
362837, 5, 1.29713462960321e-05, 11154.2551694394 
47466, 7, 1.53895874051617e-05, 3364.12673280355 
549298, 9, 1.50233613268633e-05, 22735.2066225613 
558016, 1, 1.32847995323751e-05, 0 
582419, 1, 1.22243411080143e-05, 0 
588, 3, 1.51565673406287e-05, 206.779169326532 
683846, 4, 1.21826421714341e-05, 9854.4214450469 
684066, 4, 1.26802175925339e-05, 396.915716402061 
79601, 4, 1.58916822934876e-05, 1365.07410516244 
85034, 1, 1.05234356912845e-05, 0 
994695, 1, 1.1533626287441e-05, 0 
100886, 1, 1.25300721732157e-05, 0 
10702, 2, 8.89394855740154e-06, 9610 
1204537, 1, 1.1050700614419e-05, 0 
1220717, 1, 1.19680214466944e-05, 0 
1244, 3, 1.30255822435263e-05, 54154.3070490048 
1315211, 6, 1.45685523229557e-05, 2657.30160453491 
134287, 8, 1.34663811793857e-05, 61006.9937705094 
157268, 1, 9.93630826402758e-06, 0 
1602, 5, 1.46106979530412e-05, 233318.226972699 
1625, 5, 1.46292936977003e-05, 383.727583334691 
1643513, 7, 1.52070439027357e-05, 711.63284168785 
174587, 3, 1.35202736503387e-05, 464.573382615736 
1813019, 7, 1.38883102092968e-05, 29926.1216347407 
1886670, 18, 1.5236470014627e-05, 34007.4692511388 
1912871, 1, 1.29912309191296e-05, 0 
1930764, 2, 1.35085847055804e-05, 119.036672473807 
1955013, 10, 1.4951258895999e-05, 33501.6319476728 
2026187, 3, 1.30982631703036e-05, 11718.1447291632 
203491, 1, 1.15876197870195e-05, 0 
2146, 3, 1.06201081127006e-05, 115.474934387471 
2177, 2, 1.19451478809308e-05, 4833.75166539695 
2260, 16, 1.17074084480659e-05, 77074.9206360178 
2597167, 1, 1.05234356912845e-05, 0 
267888, 1, 1.19461467703592e-05, 0 
2681309, 4, 1.45808728110465e-05, 397.088036848372 
2686014, 2, 1.15661758752704e-05, 123.54566158492 
269258, 2, 1.29762275511263e-05, 215.861159119571 
2719911, 5, 1.51572565365669e-05, 219.276579913017 
2733169, 1, 1.15660421003932e-05, 0 
2734215, 1, 8.19363190928011e-06, 0 
2841063, 1, 1.04343833801142e-05, 0 
285729, 5, 1.2873492192227e-05, 10023.3767542635 
2923362, 2, 1.30602862814753e-05, 22.6377373129339 
29391, 7, 1.33409821631068e-05, 7074.20062777532 
2955340, 2, 1.21531786638795e-05, 9610 
3003601, 3, 1.33813276953339e-05, 248.137209947709 
3047865, 2, 1.38366172238211e-05, 30.6536213003061 
3050260, 2, 1.33779264214047e-05, 176.81470582615 
3050355, 1, 1.362305020094e-05, 0 
395631, 11, 1.59599087093222e-05, 4916.86856117745 
39777, 17, 1.60436386972565e-05, 3879.90668282907 
44674, 25, 1.69894665307509e-05, 24186.7407628271 
447467, 1, 1.521861541037e-05, 0 
480520, 4, 1.67683949292374e-05, 54.5077702486775 
507763, 5, 1.61833247022268e-05, 3653.94806108373 
51663, 24, 1.70680503166123e-05, 7040.06080932749 
56426, 12, 1.62972620599739e-05, 40310.4697338504 
680118, 3, 1.34916351861846e-05, 14587.2066353794 
691437, 3, 1.44381397900694e-05, 1242.22413983481 
762833, 7, 1.68449423060726e-05, 10440.1711010703 
76936, 7, 1.69992860299867e-05, 198.375920592231 
787, 1, 1.52040381925439e-05, 0 
10279, 2, 1.57440644876881e-05, 15.6648086649248 
111844, 7, 1.50806816468104e-05, 5541.95768594085 
1151742, 5, 1.30515929469192e-05, 29217.0974332673 
1176482, 62, 1.81074131749538e-05, 29150.9225555153 
1179777, 6, 1.36134064827042e-05, 19711.4237478352 
1244531, 11, 1.57099318188959e-05, 50186.7917611982 
1249, 9, 1.65223712907276e-05, 2475.32169929642 
1253, 20, 1.72517898731993e-05, 29456.7430054641 
1267021, 16, 1.69480035251847e-05, 20566.8451348988 
1375, 5, 1.76978620982585e-05, 447.575522832774 
143361, 22, 1.65790738929323e-05, 8490.76920555761 
1522127, 1, 1.2087075290392e-05, 0 
1636720, 27, 1.78056337025035e-05, 59886.000131745 
172045, 16, 1.74559673224292e-05, 11490.2676065233 
1779134, 4, 1.3038999647947e-05, 1136.72798834245 
182262, 11, 1.69477162952292e-05, 1200.03521386624 
1847728, 8, 1.36755877083818e-05, 21695.7658896406 
1848399, 2, 1.05236571813437e-05, 9610 
1849015, 9, 1.65801734286141e-05, 10423.0479792879 
