"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Hahella",5.13507312107576e-05,6.43844508294446e-05,6.26170997984609e-05,7.32448962609564e-05,6.98530426983116e-05,5.10264841243547e-05,5.32281190846094e-05,"v_544",93,0.000131891321551042,9458.35942884941
"Desulfolutivibrio",8.03279192644289e-05,0.000101127846892941,0.000114754891572799,0.000121135789970043,0.000148757321529567,0.000100511627710772,8.55451913859794e-05,"v_713",93,0.000127991808524254,4961.18613969677
"Paralcaligenes",5.32234066291921e-05,6.44679585477707e-05,5.99002421625773e-05,6.73939725951404e-05,6.45859391859206e-05,5.20810855450488e-05,5.48914978060035e-05,"v_328",92,0.000131665569453588,7136.03690817219
"Syntrophotalea",8.22005946828634e-05,0.000115407666726709,0.000118118620074369,0.000137605056584933,0.000140779960870023,0.000103026446483196,9.62383403092269e-05,"v_707",92,0.000126790921770001,6516.85141068728
"Desulfococcus",4.25787253033537e-05,6.922789849236e-05,6.41695898761087e-05,8.14795295684012e-05,9.05634982567421e-05,5.5488259365753e-05,5.53667488692589e-05,"v_722",92,0.000132802124833997,16755.1406873496
"Breoghania",0.000260499006890657,0.000279667348674202,0.000281259452400525,0.000337186563852213,0.000353867536948987,0.000271600427421844,0.000273982237966762,"v_79",91,0.000110619469026549,9731.66619494753
"Acidihalobacter",0.000237583373480866,0.000348978754884888,0.000289798147827588,0.000429067735493176,0.00037299274776097,0.000266814159435616,0.000249744433740734,"v_497",91,0.00010991426687184,5572.65470668452
"Cardiobacterium",5.98270515257771e-05,8.4259287791063e-05,8.34463416735688e-05,9.3398077776545e-05,9.02055397656088e-05,6.8954708276155e-05,7.22381616148271e-05,"v_676",91,0.000131285282919785,13612.1013013267
"Pelobacter",7.3773555299908e-05,0.000114572589543447,0.000124716702904373,0.000128070218018418,0.000136586732831032,0.000110165286869434,9.74264679673655e-05,"v_706",91,0.000127975428717686,6909.27658149575
"Gelria",4.46978053821086e-05,7.47394079018844e-05,8.00826131719986e-05,8.10461278153778e-05,8.45804777620844e-05,7.41465921934184e-05,6.27331403497183e-05,"v_1225",91,0.000130701869036727,8427.00702511264
"Oceanithermus",0.000119555541187426,0.000198163815587901,0.00020725742536598,0.000211066653722401,0.000238502628949433,0.000196155864249109,0.000183684535948228,"v_1288",91,0.000119203719156038,13079.2699781012
"Anaerohalosphaera",1.88745969805376e-05,2.32151456946635e-05,2.84623180902095e-05,2.88212165760568e-05,3.20117164927841e-05,2.09297820414682e-05,2.13862978464949e-05,"v_1429",91,0.000132661183337755,19800.1476099244
"Silicimonas",0.000175144432555693,0.000184886088374047,0.000177501365544397,0.000185929352047043,0.00022270131841226,0.000148698800317873,0.000152555591304997,"v_122",90,0.000120670930372873,9008.35829555203
"Desulfomicrobium",8.01800764682367e-05,0.000107474433485727,0.000109321176301032,0.000144322783756796,0.000137711745231737,9.89702871728342e-05,8.0792680753425e-05,"v_719",90,0.000127404764938209,4519.15699573876
"Vescimonas",4.25294443712896e-05,7.53239619301673e-05,7.06382985329745e-05,7.60620076556086e-05,9.02055397656088e-05,6.62776431313161e-05,5.06142382367045e-05,"v_1125",90,0.000132802124833997,13587.2966873224
"Polymorphum",0.000284695944534114,0.000336953643445926,0.000335208482598786,0.000390928381227116,0.000427913807686289,0.000321491186939297,0.000309388442179292,"v_118",89,0.000107353730542136,8199.85790121596
"Pontivivens",0.00019012583590317,0.000192652306178377,0.000197942484900093,0.000206515935315655,0.000242593583133814,0.000164031082511042,0.000156595225342668,"v_120",89,0.000118287201324817,9990.76337597649
"Pelagovum",0.000169181439775941,0.000181295256486024,0.000184487570893813,0.00018679615555309,0.000201172672016953,0.000154945285655831,0.000134733676432918,"v_124",89,0.000121080033902409,8503.40966562365
"Desulfohalobium",2.0697991466908e-05,2.78915779209267e-05,3.13085498992305e-05,3.35886358593143e-05,3.48242474945462e-05,2.4904818165623e-05,1.92476680618454e-05,"v_720",89,0.000133797163500134,16025.1158287826
"Megasphaera",5.03158316374122e-05,7.00629756756213e-05,7.28376594763089e-05,8.0179324309331e-05,7.81883618489886e-05,6.84679691589116e-05,6.05945105650688e-05,"v_1254",89,0.000132643586682584,14423.0651256153
"Yangia",0.00017134980078676,0.000191984244431768,0.000179441978141457,0.000195030788860535,0.000209201169603801,0.000162814234717933,0.000157308101937551,"v_160",88,0.000120598166907863,9565.07166553122
"Sutterella",0.000112853334426713,0.000173779561836672,0.000172455772792042,0.00019568089149007,0.000173712142054293,0.000130527206607451,0.000152793216836624,"v_336",88,0.000119517150711127,4432.16540706201
"Caldichromatium",4.59791096157743e-05,6.36328813645094e-05,6.20996031059117e-05,7.56286059025852e-05,7.17451090085879e-05,5.19188391726344e-05,4.34854722878729e-05,"v_510",88,0.00013262599469496,8654.35997477059
"Syntrophus",1.7741135543064e-05,2.89771782591664e-05,3.09204273798185e-05,3.51055419948963e-05,3.09889779466887e-05,2.59594195863172e-05,2.37625531627721e-05,"v_743",88,0.000133511348464619,13900.0324541014
"Dysosmobacter",6.76134387918996e-05,0.000103800093879377,0.000115789884957898,0.000108783840008876,0.000124927513405545,0.000101079490014223,9.1010578613417e-05,"v_1123",88,0.000128336755646817,6783.26160481394
"Ethanoligenens",2.30634762059833e-05,3.55742880069305e-05,3.80360069023709e-05,4.07397647842006e-05,4.78641639572618e-05,3.31793831587616e-05,3.231707230137e-05,"v_1126",88,0.000134048257372654,13737.2214108224
"Candidatus_Desulforudis",3.32646291432451e-05,5.54491249685489e-05,5.65365136610071e-05,6.13263480528126e-05,6.5813225441235e-05,5.2486701476085e-05,5.10894892999599e-05,"v_1186",88,0.000135482996883891,30650.245898984
"Brevirhabdus",0.000149715471610635,0.000158664664819643,0.000166633935000863,0.000173577402085876,0.000203831792236801,0.00014261456135233,0.000146139701951048,"v_127",87,0.000121639703199124,6094.5545890339
"Niveibacterium",0.000145625154249317,0.000241587829117488,0.000192120647108914,0.000268275685121491,0.000215797833226116,0.000172792386621424,0.000189862799770549,"v_343",87,0.000116645281698355,4767.28279466301
"Brenneria",6.78105625201559e-05,8.64304884675423e-05,8.65513218288644e-05,0.000103149617219572,9.8489721988981e-05,8.12854325796557e-05,7.79411743738924e-05,"v_477",87,0.000129533678756477,4897.3692016914
"Sulfurivermis",0.000129362446668175,0.000238999089849378,0.000157577742881251,0.000250506213247531,0.000219070596573621,0.000146914090221314,0.000154694221089646,"v_518",87,0.000116455106556422,3949.36561490095
"Syntrophobacter",8.71286878892701e-05,0.000122338807347777,0.000142570338797322,0.00014107227060912,0.000152388043368205,0.000115600540345319,8.10303062850527e-05,"v_738",87,0.000126230749810654,18076.788079697
"Nitrosococcus",4.17902303903286e-05,6.16286961246824e-05,6.59808283000311e-05,6.73939725951404e-05,7.07735073897974e-05,5.02963754484895e-05,4.39607233511283e-05,"v_511",86,0.000133511348464619,12150.122644294
"Desulfoluna",2.81394122085821e-05,3.86640735849972e-05,4.06234903651172e-05,4.65906884500166e-05,4.77618901026523e-05,3.74789120277454e-05,3.42180765543918e-05,"v_724",86,0.000133797163500134,15102.8022210355
"Desulfurivibrio",3.9079779126805e-05,5.36954628837002e-05,5.78302553923802e-05,6.80440752246755e-05,7.1284876662845e-05,4.89984044691737e-05,4.80003573887996e-05,"v_730",86,0.000134138162307176,16899.1084158292
"Desulfoglaeba",5.04143935015403e-05,8.2255102551236e-05,8.71981926945509e-05,0.0001055333268612,9.87454066255049e-05,7.44710849382474e-05,5.67925020590252e-05,"v_739",86,0.000131821776957553,14897.6589480247
"Sulfurimonas",3.47923380372311e-05,5.61171867151579e-05,5.36902818519861e-05,5.69923305225785e-05,6.24893251664251e-05,4.86739117243447e-05,4.20597190981066e-05,"v_748",86,0.000134661998384056,26856.8454745466
