"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Zygosaccharomyces",2.75154482395672e-06,1.91329840447654e-06,1.51686975867324e-06,1.92518188733435e-06,1.89523506948027e-06,9.8349342462775e-07,1.69896275056842e-06,1.34070696627509e-06,7.41076970106808e-07,1.78718654902128e-06,2.82687110598505e-06,1.37611389895442e-06,1.74981965921137e-06,0,2.1191236606287e-06,1.69976578077424e-06,3.12399257537816e-06,3.60106701103581e-06,0,1.55740295270621e-06,2.2950799039472e-06,1.48059378325321e-06,"v_1755",9,9.39496429913566e-05,6800.33533722573
"Brettanomyces",4.54847205592846e-06,6.77626518252109e-06,4.33391359620927e-06,4.54342925410907e-06,4.86443667833268e-06,5.14442714420669e-06,3.46327022231254e-06,4.46902322091697e-06,4.2241387296088e-06,4.65945064566263e-06,5.16913573665838e-06,5.12483796851992e-06,7.87418846645118e-06,3.6026915708726e-06,5.90327305460853e-06,7.30899285732922e-06,5.39140654137844e-06,1.07139183799413e-05,0,3.24458948480461e-06,3.92384628739361e-06,2.96118756650642e-06,"v_1760",9,0.000106450926123057,995.502196249006
"Ensifer",0.00205697629482365,0.00180113128551411,0.0017527068902003,0.00192780013470113,0.00208798047604641,0.00133671887074982,0.00157343554118988,0.00163604555798883,0.00178495799019926,0.0015424058198964,0.00164943890646933,0.00156340774582246,0.00191167797768842,0.00301076934577823,0.00206834037576149,0.00180829582587667,0.0023837574959446,0.00276362548522146,0.00202137470736323,0.00175584204559686,0.00255183271384685,0.00208482410619885,"v_11",8,8.50774204526119e-05,7333.23654817103
"Nordella",0.000860671990138463,0.000834437266652333,0.000514002152510419,0.000860710318189442,0.000908954739322735,0.000561877358823869,0.000538113778881958,0.000589655692405559,0.000638734240535058,0.000443158436066242,0.000524990348254367,0.000476989548699651,0.00060837479937224,0.00041683141474996,0.000938847464646395,0.000371313834810132,0.00137536292479875,0.00517806651391,0.000663405879770147,0.000566115973308709,0.00125400204558251,0.000779976805017792,"v_54",8,0.000103295114141101,130.343907437375
"Sphingosinithalassobacter",0.000790254904235571,0.000688946867145262,0.000540077865980945,0.000625838127934651,0.000594851113807539,0.000560969518739597,0.000467802858896896,0.000763053793377137,0.000724550953673426,0.000716789462339607,0.000802750626353869,0.000681888163033623,0.000842225698113988,0.000857620728446222,0.000761068126117223,0.000590413643951932,0.00050603641023424,0.000964758589229322,0.000486050261623504,0.000474532027450957,0.000531496084852806,0.00107698391793839,"v_89",8,9.99600159936026e-05,1861.76726919827
"Tardibacter",0.000355791591930404,0.00035794624317082,0.000297450936486496,0.000357005729187282,0.000306206812725695,0.000298225467683276,0.000253798897046451,0.000406425740347963,0.000409148595195969,0.000399819162252475,0.000416519265530426,0.000350007452368546,0.000427143477525348,0.000422775855841899,0.000404298521252805,0.000324995217284034,0.000272190449874078,0.000295287494904937,0.000250215223439319,0.000258226061797317,0.000271781881528716,0.000559516390691388,"v_94",8,0.000107933081489477,160.82739653963
"Qipengyuania",0.00165379074714999,0.00147834190052554,0.00106224222243089,0.00130758353787749,0.00131889408485132,0.00108373410059942,0.000922602118279826,0.00146079600454002,0.00141345610508471,0.00142272814920301,0.00138839755176809,0.00125582256330444,0.00192342676682884,0.00172118589798438,0.00155150125153173,0.00126080126788929,0.00145386583499938,0.00132037139679021,0.00116910906124233,0.00109840169358919,0.00127073391843064,0.00211562045689051,"v_101",8,8.78040214241812e-05,13262.7928209049
"Croceicoccus",0.001080627114127,0.00100049562400753,0.000742182703350838,0.000900215050517543,0.000899099516961438,0.000778170258901618,0.000658936168335843,0.000942325467724778,0.00093079267445415,0.000988377989699806,0.000955805504806489,0.000872266403123456,0.0012140623756964,0.00108945393103187,0.000999166805986434,0.00090589017286363,0.000980480185875543,0.000929849071841346,0.00071661256521414,0.000716881231369297,0.00091855020542816,0.00131891294212196,"v_104",8,9.77135040062537e-05,2754.8698436998
"Pontivivens",0.000197942765396887,0.000200099124801505,0.000188236313862023,0.000198216727119945,0.000210055220200729,0.000159023321428272,0.000181985048474348,0.000205894284106532,0.000226324906670619,0.00019046302365284,0.000194084893362345,0.000175668057032044,0.00024478727161182,0.000177612694444019,0.000235147043341906,0.000211705827995431,0.000214446974206604,0.000183594895794049,0.000198446556520839,0.000212455719465006,0.00019619231436968,0.000178855729016988,"v_163",8,0.00011986096128491,398.8442597631
"Kordiimonas",8.53540435186576e-06,9.7259335560891e-06,6.28417471450344e-06,7.31569117187054e-06,8.40220880802918e-06,5.74965386705454e-06,7.25326405050363e-06,7.02275077572667e-06,6.00272345786514e-06,5.55304392017327e-06,7.99600684264343e-06,5.78916881629102e-06,7.43673355164833e-06,5.94444109193979e-06,7.03851787280248e-06,7.05402799021309e-06,7.05417678311198e-06,8.51161293517556e-06,0,5.66721630012539e-06,7.92172741039841e-06,8.14326580789266e-06,"v_258",8,0.000118609892064998,725.237012786575
