"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Microbacterium_endophyticum",3.71702111223624e-05,2.69889994342337e-05,2.81035115791001e-05,3.16998639511318e-05,3.00277580278341e-05,2.62992691238301e-05,2.81009720316741e-05,"v_3262",53,3.39512460107286e-05,70906.3639209661
"Paenibacillus_albus",1.56272638273062e-05,2.67383276128631e-05,3.00461506283466e-05,2.71402944787088e-05,2.74188727477327e-05,4.42379681249611e-05,2.50051022315744e-05,"v_4853",80,3.48529206747525e-05,70731.1378965552
"Brevibacterium_atlanticum",5.31918538475186e-05,5.69025034511243e-05,5.75021158576978e-05,6.07942596323076e-05,8.07731344564738e-05,6.05532554517817e-05,5.31060742632485e-05,"v_3543",168,3.61219476954197e-05,70347.7391545393
"Chlorobium_limicola",1.17327722110375e-05,1.41211792705433e-05,1.43755289644245e-05,1.62841766872253e-05,1.76483416006862e-05,1.38801698153548e-05,1.11927600465143e-05,"v_6468",180,3.61402240693892e-05,70101.2912867138
"Enterobacter_sp._BIDMC_29",3.84519425403749e-06,1.00268728548237e-05,8.54761181668481e-06,0,7.51972816029237e-06,6.65598786467305e-06,0,"v_1987",79,3.06579189404623e-05,69668.3211761775
"Sinomicrobium_sp._HD2P242",1.30638009912812e-05,8.18861283143933e-06,9.97221378613228e-06,1.21588519264615e-05,8.18473813365156e-06,7.54886428554383e-06,7.85874641563767e-06,"v_6205",60,3.205230936889e-05,69578.700501195
"Trichlorobacter_lovleyi",2.67191703293374e-05,3.53447268132534e-05,4.20905127336752e-05,4.3424471165934e-05,4.49649051217482e-05,3.69326155905639e-05,3.26257048164352e-05,"v_3034",210,3.75572748441373e-05,69537.0744905637
"Jeotgalibacillus_malaysiensis",4.83114149866249e-06,6.0996809866844e-06,6.21644495758895e-06,6.07942596323076e-06,8.23589274698688e-06,1.80198695848466e-05,5.23916427709178e-06,"v_4939",94,3.19121776870054e-05,69477.7497940676
"Hydrogenovibrio_marinus",2.66205756048749e-06,3.25873367781769e-06,2.33116685909586e-06,0,2.81350373344272e-06,3.40916451605205e-06,0,"v_2917",82,2.57221493427991e-05,69311.3044874051
"Shewanella_sp._MR-4",1.92259712701875e-06,3.76007732055887e-06,0,0,3.88775061348449e-06,2.84097043004338e-06,0,"v_2558",61,2.4906600249066e-05,69033.9945006978
"Stanieria_sp._NIES-3757",1.82400240255625e-06,3.92719186813927e-06,3.75576882854333e-06,0,2.25080298675418e-06,4.78906443921598e-06,0,"v_5700",112,2.64382402707276e-05,68932.5381382692
"Chitinophaga_pinensis",4.57479521505999e-05,2.25604639233532e-05,3.22478082174927e-05,3.38710875094285e-05,1.73925685340096e-05,1.25814404759064e-05,2.81009720316741e-05,"v_6278",42,3.20553917168868e-05,68747.3553204185
"Thiohalobacter_sp._COW1",7.88264822077686e-05,0.0001355298980877,0.000105291036469163,0.000137004206528522,0.000123231463524791,6.72904139001702e-05,7.43008752023925e-05,"v_2320",176,3.36383207750269e-05,68558.9128507372
"Polaribacter_vadi",3.94378897849999e-06,1.75470274959414e-06,0,0,1.99502992007757e-06,1.9480940091726e-06,0,"v_6106",102,2.34852043212776e-05,68353.7181835339
"Mixta_theicola",1.81414293011e-05,2.22262348281925e-05,2.34411778609083e-05,2.64889274112198e-05,2.53726882143198e-05,2.19160576031918e-05,2.04803694468133e-05,"v_2196",230,3.70947399658728e-05,68013.5372560575
"Geobacter_sp._DSM_9736",3.79096715558312e-05,5.40615561422576e-05,5.47824211887526e-05,6.70908079513681e-05,6.747293498929e-05,6.46117846375579e-05,4.4771040186057e-05,"v_3024",188,3.65483717700376e-05,67473.7639232134
