degrees , closeness , betweenness
996801, 3, 3.2563743527956e-05, 83.5504458349501 
1018, 2, 2.55212719801955e-05, 41.6259400751181 
107401, 12, 3.47246336551149e-05, 8202.99955852288 
1424294, 4, 3.3479527269075e-05, 8739.59590283235 
1585976, 4, 2.83021537939037e-05, 6147.19053028089 
1774273, 1, 2.91061501295224e-05, 0 
2420306, 5, 3.38317883483321e-05, 7256.00999538353 
2546366, 6, 3.42231348391513e-05, 4491.4886679675 
2686365, 6, 3.38787817190094e-05, 1513.81285888866 
2820661, 15, 3.51592714998945e-05, 2226.25964046173 
2913620, 5, 3.29456725859058e-05, 4815.599194813 
38875, 4, 2.8701816825005e-05, 4542.96140894252 
1444684, 7, 3.01668225285831e-05, 29450.7953070415 
165179, 4, 2.86147594929465e-05, 8469.98286575151 
1796652, 1, 2.87753222836096e-05, 0 
2507160, 1, 2.7683193533206e-05, 0 
2546356, 4, 3.23970583471021e-05, 10784.135830242 
2686366, 2, 3.20687554116025e-05, 10124.4430723964 
351671, 3, 3.19081046585833e-05, 414.94854216329 
52443, 1, 3.36202259279182e-05, 0 
544645, 1, 2.82222786667796e-05, 0 
981385, 4, 2.90799115970687e-05, 4006.29842308326 
1598, 2, 3.17581300813008e-05, 247.632080959883 
1913578, 3, 3.00797112347721e-05, 4341.06435232491 
2686362, 10, 3.4389078028818e-05, 29955.1095624811 
2767188, 3, 3.31290376014577e-05, 4201 
28119, 1, 3.36202259279182e-05, 0 
2829596, 1, 2.80867318278845e-05, 0 
2912188, 1, 2.9085832291091e-05, 0 
3042315, 18, 3.69863520360987e-05, 5268.78317160594 
3042615, 6, 3.25542027475747e-05, 9573.83435230358 
46234, 9, 3.31257453292699e-05, 34681.4154132673 
46507, 2, 3.34403424291065e-05, 0 
486398, 5, 3.18440913288539e-05, 8576.05473414776 
754397, 3, 2.99132515704457e-05, 23284.9863078182 
88431, 5, 3.45948937936761e-05, 1505.46699135153 
909656, 11, 3.416700833675e-05, 42549.1744205752 
1074311, 2, 2.97672203369649e-05, 4.92619047619048 
1308, 1, 2.67051220424077e-05, 0 
1407, 3, 3.00806160510167e-05, 8401 
607712, 2, 3.50434538828147e-05, 0 
69223, 1, 3.44934634886689e-05, 0 
1125966, 7, 4.17850576633796e-05, 6220.77212929001 
2496028, 7, 4.13223140495868e-05, 9.26441249371375 
670, 2, 3.75869197519263e-05, 1557.66694995238 
1751046, 11, 4.16007987353357e-05, 18041.7120432518 
221352, 2, 2.40621766645011e-05, 4201 
2605747, 38, 4.31667098333765e-05, 10951.5923999277 
562959, 9, 4.13257293991239e-05, 2632.06991861551 
392733, 16, 4.24718623911659e-05, 8926.46169444598 
292628, 7, 3.61258625049673e-05, 12765.5376595541 
2979868, 13, 4.48430493273543e-05, 60010.4749473995 
174633, 6, 3.90396252195979e-05, 242.000149034119 
185300, 25, 3.96935656730044e-05, 9985.32772147473 
3070658, 8, 3.71016213408526e-05, 6055.15170602823 
318683, 1, 2.53852207244942e-05, 0 
155077, 1, 3.26445336728365e-05, 0 
1704307, 6, 3.82570105971919e-05, 4496.91327960698 
2735563, 3, 3.75699740767179e-05, 168.611560196245 
1016, 110, 4.49195939268709e-05, 142591.832152143 
1751056, 6, 3.2797638570023e-05, 813.869309007572 
2904245, 67, 4.43007132414832e-05, 56944.346965592 
1422, 2, 3.70837350737966e-05, 116.961683345911 
204042, 8, 4.04759977333441e-05, 11147.6442039172 
2718620, 2, 3.73078644978361e-05, 138.096135366752 
590, 1, 3.37917750819451e-05, 0 
135622, 23, 4.34518119405579e-05, 10253.3311443124 
1561005, 2, 2.97743107247067e-05, 8.50005362614969 
179, 6, 3.94788787998421e-05, 539.07784069633 
2845819, 15, 3.00012000480019e-05, 873.788810302881 
2725288, 19, 4.22136856768965e-05, 18161.6208167059 
2043170, 1, 3.07739652254193e-05, 0 
3074898, 15, 4.20221036265075e-05, 21142.5419908078 
1218801, 81, 4.42419147900721e-05, 106845.354922543 
2072642, 8, 4.05005872585152e-05, 7759.90294702283 
2558360, 1, 2.83270069684437e-05, 0 
259, 5, 4.06652840470091e-05, 6557.75708401616 
2950604, 18, 4.18305028026437e-05, 24096.4881089653 
931531, 18, 4.24124183560947e-05, 6834.63757009829 
1428684, 7, 3.85475291033845e-05, 969.89416403103 
2185142, 30, 4.59157904403324e-05, 59361.9136982354 
158627, 1, 2.88084812168702e-05, 0 
1620816, 65, 4.42634560906516e-05, 157277.835355601 
2995161, 3, 3.49577011815703e-05, 5036.36204407408 
3020899, 13, 4.05531448963867e-05, 4423.50591703428 
418701, 3, 4.08814030497527e-05, 1816.03098511655 
1052, 8, 3.94383972235368e-05, 2958.85260627757 
1493872, 17, 3.88078236572493e-05, 15187.2282341786 
1954172, 17, 4.30514895815395e-05, 11496.2666969447 
3025667, 11, 2.89251417331945e-05, 10.423866452605 
38313, 3, 3.60737347137549e-05, 38.8539867487856 
1092, 2, 3.22175327813396e-05, 25176 
1355330, 26, 3.40785169029444e-05, 38547.4300759107 
1448929, 19, 4.23890466703404e-05, 34029.8184486335 
2294119, 4, 4.03128275417238e-05, 5522.43578445115 
871694, 22, 3.28213207299462e-05, 2528.06274463338 
2781023, 2, 3.45602211854156e-05, 1590.56022589934 
304207, 2, 3.38799295297466e-05, 15.6156536691914 
833, 9, 3.84172109104879e-05, 420.515434076629 
92942, 7, 3.70713623725672e-05, 4865.51997968503 
1124597, 10, 3.95147587623978e-05, 5972.66246782848 
1513468, 3, 3.48833153102871e-05, 15456.7381553292 
1703338, 1, 3.44269631975763e-05, 0 
2015348, 2, 3.5847433323774e-05, 4201 
2509456, 9, 3.85653682992673e-05, 6795.59308080986 
2713573, 23, 4.27917326372545e-05, 12374.2481076212 
2983606, 5, 3.53706847764573e-05, 5431.50958323205 
3025668, 14, 2.9341001114958e-05, 997.261496407494 
838, 43, 4.32133442807139e-05, 42711.2080934432 
2740515, 2, 3.20112679663241e-05, 2.29726890756303 
2741301, 1, 3.16125565074448e-05, 0 
2793010, 2, 2.92406210707915e-05, 4201 
421058, 10, 3.95663527736013e-05, 29605.1175069739 
48076, 8, 4.00496615803596e-05, 4723.25292453338 
518753, 6, 3.91665361115463e-05, 1907.56296708616 
981384, 18, 4.14886113761772e-05, 4888.08066979765 
2751171, 4, 3.60191621942874e-05, 111.672222640475 
43658, 1, 3.25796572620056e-05, 0 
69541, 5, 3.70535052615977e-05, 493.261557185956 
100716, 9, 3.84674565317741e-05, 7510.8866976634 
2579935, 1, 3.24770225065766e-05, 0 
2732163, 5, 3.6071132272842e-05, 11135.6477450198 
116718, 3, 3.5403242937053e-05, 13.1350273432684 
151895, 27, 4.25043566965614e-05, 7190.26445865927 
2716226, 18, 4.15420405450316e-05, 22859.6310218823 
818, 21, 4.21141292903769e-05, 9236.3834693894 
2490452, 14, 4.18357528343723e-05, 6085.8533661723 
252130, 3, 3.3671167379373e-05, 4208.49430448963 
712157, 1, 3.70260663507109e-05, 0 
1921087, 8, 3.89029371717565e-05, 1032.32994363312 
2735795, 1, 3.61637494575438e-05, 0 
52972, 16, 3.97440483287628e-05, 12407.8588620652 
90627, 2, 3.60438292964245e-05, 12.0258197643605 
186826, 57, 4.34442610131202e-05, 40349.2609722312 
212743, 6, 4.10424789657295e-05, 8073.68931747649 
2900738, 67, 4.44820070281571e-05, 71878.05116098 
1475485, 2, 3.24875735031351e-05, 4201 
1536772, 36, 4.25224305821321e-05, 53197.2852086133 
180957, 3, 3.000300030003e-05, 8400 
2879938, 4, 3.12519532470779e-05, 16813.4969680441 
2804761, 1, 2.89913895573015e-05, 0 
3025669, 17, 3.96730937078473e-05, 1051.06033378661 
539, 2, 3.35300429184549e-05, 7.21143386963978 
1617283, 2, 2.88658603469676e-05, 0 
210, 29, 4.12813738441215e-05, 20105.3999845217 
2748320, 2, 3.35367898584747e-05, 0 
2772483, 38, 4.31741645799154e-05, 25853.5165692393 
81682, 2, 3.56366487295535e-05, 30.5820251622274 
1134405, 24, 4.55124704168942e-05, 71366.621850445 
2094151, 13, 4.08179925711254e-05, 5202.07489844442 
2994555, 48, 4.39579761747769e-05, 58457.3733930351 
1109412, 3, 3.59802828050228e-05, 22.1123178000272 
1184, 23, 4.22261633307998e-05, 10301.3770009324 
