"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903","nodos","degrees","closeness","betweenness"
"404386",0.00989179371587124,0.00601294999546391,0.0152028137532049,0.0153070624972582,0.012277150204493,0.011390738394913,0.0189967068796109,0.00966837982420531,"v_48",22,0.0123456790123457,48.5546166655378
"1586287",0.00593558332762848,0.00388626452338405,0.00756110083241764,0.0126270703139021,0.00683770111362717,0.00479866211552982,0.00674611232084468,0.00528937845973387,"v_86",22,0.0126582278481013,52.9958674526325
"2724914",0.0045503603354623,0.00731575582781443,0.012055029098616,0.00986970930858595,0.0111568183440284,0.00526792010133976,0.00962730092492106,0.0052718712079019,"v_95",21,0.0120481927710843,13.7320847738661
"1483604",0.0123385420760427,0.00706574369642409,0.0151425503473364,0.0159786557765397,0.0120976375704803,0.0100016848358533,0.0124571439240645,0.0108424599001868,"v_41",20,0.0128205128205128,33.4192428122743
"2802641",0.0142190308848101,0.00816284334471926,0.0186957433686774,0.0199228704630564,0.0141706840729038,0.0117152252999944,0.0145343070327142,0.0129126924293172,"v_1",18,0.0120481927710843,5.37383142225862
"2781978",0.00531100749406484,0.00814069037105176,0.0131953379603107,0.0113580621104141,0.0132082368182575,0.00597055905349666,0.0109471163608102,0.0058474221118779,"v_71",18,0.0113636363636364,8.35038873880876
"665007",0.0169286250964543,0.00495699158397981,0.0192561147790916,0.017322639951824,0.0122825572115416,0.0120022714083356,0.0175403588124228,0.0146853016773041,"v_6",14,0.0114942528735632,7.17134550205038
"2742131",0.0108578156072965,0.00577454180266131,0.013894236940059,0.00997579233251046,0.0119192063378774,0.00875989841063818,0.0140570262959514,0.0100655756001431,"v_60",12,0.0106382978723404,2.2991515208224
"1813880",0.0194658059521485,0.0149427081904818,0.0184468633288566,0.015165086720878,0.0199291465796355,0.0112996324561787,0.0196898725462052,0.0167467805805186,"v_11",10,0.0104166666666667,2.88956967717903
"53461",0.00707908955606096,0.0084877536251759,0.0121059008048687,0.0117345372028379,0.0155689360956651,0.0049646496477445,0.00689081357111016,0.00546882779101156,"v_93",10,0.0103092783505155,2.4954258859721
"2045",0.0136113583214377,0.00754994440658513,0.0101406876602459,0.0113788001451662,0.0121809054790284,0.00734962840009235,0.0108327556952778,0.00798111842889922,"v_79",8,0.0103092783505155,35.9912132959381
