"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Polynucleobacter_paneuropaeus",4.07282555059242e-06,4.3775173864585e-06,2.89544319844742e-06,0,3.72951839939972e-06,4.50408508869048e-06,4.98242272440298e-06,3.66993807465226e-06,"v_2590",102,2.93160564040925e-05,4255.48154559852
"Rhodothermus_marinus",0.000170701407725707,0.000221674609947054,0.00028993559595264,0.00035076247534378,0.000334939440869167,0.000352794113067601,0.000233106206034568,0.00029397283371516,"v_6149",251,2.93151969981238e-05,8510.87012609543
"Microbacterium_sp._10M-3C3",0.0002379387558504,0.00019634241916968,0.000201898471675523,0.000264154456740377,0.00018776690710824,0.000234445394530286,0.000230970882009824,0.000231475947090935,"v_3713",44,2.9314337642541e-05,25727.6525332425
"Cruoricaptor_ignavus",8.57436958019458e-06,6.96097027027008e-06,5.71263117531517e-06,1.62390034881379e-05,7.17215076807638e-06,9.16348345630133e-06,5.69419739931769e-06,6.47636130820987e-06,"v_5979",21,2.93134783373395e-05,703.524077141085
"Indioceanicola_profundi",0.000198782468100844,0.000223468674449701,0.000315525053409189,0.000341019073250897,0.000289396283491882,0.000351939890033539,0.000272965587829792,0.000287010745308834,"v_603",211,2.9312619082515e-05,9267.668417535
"Agarilytica_rhodophyticola",3.50120091191279e-06,3.22931610476447e-06,2.97369842002708e-06,0,5.09222704533423e-06,4.11580189138958e-06,0,2.48260516814712e-06,"v_1906",337,2.9312619082515e-05,18703.4487348856
"Nitrogeniibacter_mangrovi",0.000197496312663815,0.000249159678127605,0.000221618787513597,0.000308541066274621,0.000310625849765388,0.000334622459433919,0.000227767895972708,0.000272277023332657,"v_2787",226,2.93117598780631e-05,7595.44690832249
"Flavobacterium_sp._140616W15",1.09323212147481e-05,4.4349274505432e-05,1.33033876685422e-06,0,2.5819742765075e-06,2.25204254434524e-06,1.1032507461178e-05,3.56199871951543e-06,"v_5700",36,2.93117598780631e-05,2229.77256084263
"Nocardia_gipuzkoensis",0.000158840196473105,0.000175961846419611,0.000452393435952014,0.000239254651391899,0.000275410589494133,0.000198257400541841,0.000242715164145917,0.000264991116860921,"v_3569",244,2.93100416202591e-05,2915.40469885504
"Legionella_lansingensis",3.0010293530681e-06,4.01870448592912e-06,4.30403718688129e-06,0,4.08812593780354e-06,3.96048861246922e-06,0,4.69536194845216e-06,"v_2237",193,2.93040293040293e-05,11704.0137264381
"Streptomyces_dengpaensis",0.000247227656228944,0.000194046016606292,0.000310047187898613,0.000276063059298345,0.000243853126114597,0.000231339128951878,0.000257662432319126,0.000305468375037232,"v_3273",233,2.93014533520863e-05,2749.45562565788
"Romboutsia_sp._CE17",3.05104650895257e-05,2.2748737893563e-05,1.72161487475252e-06,0,2.00820221506139e-06,1.86375934704434e-06,0,3.23818065410494e-06,"v_5042",11,2.92937282127896e-05,706.908431216702
"Streptomyces_durmitorensis",0.000235580804215846,0.000220095833184725,0.00033368026481567,0.000296632463716653,0.000260420794388854,0.000269856822124128,0.000259441869006412,0.000437909963790124,"v_3275",294,2.92928701154139e-05,7141.31524710637
"Butyricimonas_virosa",4.14427863042738e-06,2.94226578434096e-06,3.5214849710847e-06,0,4.08812593780354e-06,5.43596476221265e-06,0,2.64451420085236e-06,"v_6137",246,2.92911540714704e-05,10046.9546369015
"Viridibacillus_sp._JNUCC-6",1.92923315554378e-06,5.3104309278349e-06,6.41692816953211e-06,0,3.72951839939972e-06,4.19345853084976e-06,8.18540876151918e-06,4.53345291574691e-06,"v_4788",70,2.92902961248938e-05,453.387948797233
"Mycobacterium_senegalense",0.000343760767085968,8.61150961270525e-05,0.000112452753409971,9.95992213939128e-05,9.62502633075851e-05,8.24713511067119e-05,0.000128831216159563,0.000133844800369671,"v_3458",48,2.92894382285748e-05,989.309537390187
"Geomonas_paludis",0.000123542375034637,0.000168498538088599,0.000236017748284254,0.000397314285343108,0.000472501292600872,0.000425014787765569,0.000171181809316988,0.00018803035664836,"v_2919",201,2.92842919058217e-05,8916.05645559759
"Roseateles_depolymerans",0.000251086122540031,0.000237821190470877,0.000166448856299937,0.00025657625511258,0.00030137377527457,0.000362112909802823,0.000201788120338321,0.000204868896049706,"v_2725",172,2.92825768667643e-05,18421.4747579392
"Pseudomonas_sp._13159349",2.15073770303214e-05,0.000129387931930896,7.74726693638633e-06,0,1.42008585207912e-05,1.65408642050185e-05,0,1.090187486882e-05,"v_1157",12,2.92800046848007e-05,10029.603945917
"Ogataea_parapolymorpha",2.2150454748836e-06,3.37284126497622e-06,3.83450585740333e-06,0,4.66189799924965e-06,3.26157885732759e-06,3.91476071203091e-06,4.53345291574691e-06,"v_6411",52,2.92782901478554e-05,3466.89309479921
"Citrobacter_arsenatis",2.92957627323315e-06,2.79874062412921e-06,3.67799541424402e-06,0,4.23156895316507e-06,4.27111517030994e-06,0,3.34612000924177e-06,"v_1438",356,2.92765758116931e-05,16251.5495133742
"Gramella_forsetii",7.85983878184503e-06,5.16690576762315e-06,2.66067753370844e-06,0,3.51435387635743e-06,3.96048861246922e-06,4.62653538694563e-06,3.99375614006275e-06,"v_5757",90,2.92757187188945e-05,3156.7299565214
"Methyloceanibacter_sp._wino2",0.000142263081951395,0.000286260932042344,0.000202289747783421,0.000316119267902419,0.000183391895139713,0.000228698803210232,0.000296454152101977,0.000261968814917089,"v_325",50,2.92740046838407e-05,1559.42604704072
"Pulveribacter_suum",0.000239296364367264,0.000214067776455831,0.000181395603621652,0.000281476060461058,0.000346199717575047,0.000297114302574652,0.000186484964827654,0.000212640529619557,"v_2426",164,2.9271434007552e-05,23043.425497315
"Georgenia_wutianyii",0.000224862842240603,0.000211556086152126,0.000318498751829216,0.000261989256275292,0.000259918743835088,0.000257509416449959,0.000303571898851124,0.000314481311191158,"v_4059",359,2.92697204741695e-05,8126.38563035584
"Trichoderma_hamatum",1.67200206813794e-05,1.3419602479799e-05,9.86015791903715e-06,1.73216037206805e-05,1.01844540906685e-05,1.12602127217262e-05,1.13883947986354e-05,1.45178432659038e-05,"v_6342",13,2.92654375182909e-05,868.947076672819
"Candidatus_Rickettsiella_viridis",5.14462174811675e-06,3.87517932571736e-06,1.48684921001354e-06,0,4.01640443012278e-06,4.0381452519294e-06,0,3.07627162139969e-06,"v_2247",318,2.92585873954005e-05,15675.0558112126
"Streptomyces_griseochromogenes",0.000240296707484953,0.000194691879827245,0.000318498751829216,0.000243585052322069,0.000312060279919003,0.000254791434068853,0.000233462093372025,0.000281613777551993,"v_3276",129,2.92568753657109e-05,5240.95101509862
"Mycolicibacterium_phocaicum",0.000232722681022448,0.00017840177414321,0.000222010063621495,0.000195950642090198,0.000217961661841841,0.000220311886148533,0.000238800403433886,0.000238060247754281,"v_3406",88,2.92534519073251e-05,6434.4877166558
"Thauera_chlorobenzoica",0.000194138017911572,0.000248155002006123,0.000238756681039542,0.000394066484645481,0.000324754986778499,0.000369179663993699,0.000210329416437297,0.000279940717547372,"v_2780",230,2.92517404785585e-05,8240.47547713039
"Streptomyces_sp._LBUM_1482",0.000182705525137979,0.000203231626859844,0.000215358369787224,0,0.000213012877811869,0.000248035306435817,0.000217803050523902,0.00036753350424091,"v_3204",74,2.92508848392664e-05,1676.89607187505
"Paenibacillus_sp._FSL_H7-0737",3.21538859257297e-06,5.66924382836429e-06,2.89544319844742e-06,0,3.80123990708048e-06,4.0381452519294e-06,5.33831006186034e-06,4.26360452790483e-06,"v_4677",73,2.92491737108427e-05,2440.24978728412
"Alteracholeplasma_palmae",1.92923315554378e-06,3.80341674561148e-06,4.61705807319993e-06,0,4.94878402997271e-06,4.65939836761084e-06,0,1.67306000462088e-06,"v_5450",323,2.92431863375833e-05,6961.74841289688
"Gordonia_bronchialis",0.000193137674793883,0.000101687576010028,0.00040027545837996,0.000122333826277306,0.000120492132903683,0.00011167024754374,0.000145557921020059,0.000150683339771016,"v_3688",45,2.92406210707915e-05,1951.47343073453
"Candidatus_Nanosynbacter_featherlites",7.21676106333044e-06,3.15755352465859e-06,6.02565206163381e-06,0,5.59427759909958e-06,5.20299484383211e-06,1.45913808357516e-05,4.26360452790483e-06,"v_6253",26,2.92406210707915e-05,510.824383840035
"Kaistella_carnis",5.07316866828179e-06,5.52571866815254e-06,2.03463576107116e-06,0,3.51435387635743e-06,3.57220541516831e-06,0,2.80642323355761e-06,"v_5962",322,2.92363466261256e-05,11722.1303735892
"Paenibacillus_sp._FSL_R5-0345",2.2150454748836e-06,2.94226578434096e-06,3.59974019266436e-06,0,4.87706252229194e-06,4.0381452519294e-06,6.05008473677505e-06,4.04772581763117e-06,"v_4678",121,2.92346371981524e-05,3168.75556666426
"Desulfosporosinus_acidiphilus",2.28649855471855e-06,3.22931610476447e-06,3.20846408476606e-06,0,3.72951839939972e-06,4.27111517030994e-06,0,3.72390775222068e-06,"v_5114",437,2.92346371981524e-05,34980.7075946602
"Cryptobacterium_curtum",2.2150454748836e-06,2.58345288381157e-06,4.46054763004061e-06,0,4.37501196852659e-06,4.50408508869048e-06,0,3.61596839708385e-06,"v_4454",338,2.92329279700655e-05,12293.8865010529
"Mycobacterium_dioxanotrophicus",0.000244512439195215,0.000161968143298965,0.000227174908245753,0.000189455040694943,0.000182961566093629,0.000186531247983354,0.000234885642721855,0.000230450523217135,"v_3454",78,2.92303645026453e-05,8666.23532591765
"Saccharomonospora_cyanea",0.000138618974879812,0.000158092963973247,0.000829661859187554,0.000270650058135632,0.000182531237047544,0.000197092550949939,0.000226700233960336,0.000236764975492639,"v_4295",255,2.92303645026453e-05,3082.57097744
