"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Bifidobacterium",0.000609588013911404,0.000692728949679317,0.00103753432540677,0.00169777283949558,0.000964715553712176,0.00119743097192308,0.000956921507608909,0.00101507429842127,"v_945",34,8.97666068222621e-05,6020.47853338644
"Carboxydocella",4.28482671446629e-06,5.37944411119784e-06,8.52489382401162e-06,1.17975371032542e-05,8.24359404643337e-06,9.4689252381784e-06,7.09356195410607e-06,8.52414239439599e-06,"v_1135",34,0.000105563179562968,131.351123016978
"Oscillatoria",1.94245477722472e-05,3.12725017664301e-05,8.97851202749114e-05,7.18577259925483e-05,3.88524171579729e-05,3.39949938878864e-05,3.08569945003614e-05,2.63816812079724e-05,"v_1299",34,0.000131061598951507,3237.95075994707
"Hymenobacter",0.00123338736975912,0.00141034679411311,0.00138603824173517,0.0014897071851291,0.00159889882787562,0.00167025632070163,0.0012303783209397,0.00135415173480595,"v_1447",34,8.24062628759786e-05,2013.34814918872
"Aquirufa",1.54253761720786e-05,1.27672140239095e-05,6.80427305219276e-06,0,9.89231285572004e-06,1.21854201835574e-05,1.27684115173909e-05,8.63204293103392e-06,"v_1463",34,0.00010727311735679,1689.78421294115
"Cyclobacterium",1.6782237964993e-05,1.47038139039408e-05,6.02217270136601e-06,0,7.95686034047047e-06,1.26511050313367e-05,1.27684115173909e-05,9.00969480926665e-06,"v_1466",34,0.000107747010020472,1583.53857800525
"Aquimarina",1.54253761720786e-05,2.10874209158955e-05,4.30155192954715e-06,0,7.09665922258177e-06,9.00324039039913e-06,9.9309867357485e-06,7.17538568642194e-06,"v_1493",34,0.000107307651035519,1601.84082081932
"Brachyspira",2.92796492155196e-06,3.22766646671871e-06,2.50272112264561e-06,0,3.1540707655919e-06,5.04491918427538e-06,3.90145907475834e-06,3.88441931896526e-06,"v_1632",34,9.91866693116445e-05,178.263571763823
"Candidatus_Babela",3.85634404301966e-06,9.75472532163876e-06,3.36303150855504e-06,0,4.22932216295277e-06,5.74344645594427e-06,6.02952766099016e-06,8.7938937359908e-06,"v_1645",34,0.000108330625067707,2610.11160849103
"Xanthobacter",0.000803690664076727,0.00101391762607857,0.000994909856286714,0.00123016136885751,0.00108643401189343,0.00113937559423327,0.00102111824329357,0.0011090556658329,"v_34",33,8.73286175879836e-05,5369.51735577546
"Sagittula",0.000152968313706447,0.000204634053989966,0.000232909484476207,0.000260618319644615,0.000200140126762104,0.000249219007703204,0.000258560333227166,0.00021207850476184,"v_201",33,0.000115021854152289,922.016078178325
"Candidatus_Fukatsuia",2.49948225010534e-06,2.51040725189233e-06,2.58093115772829e-06,0,3.51248789804552e-06,2.17319595630324e-06,0,1.99615992780159e-06,"v_319",33,9.00738605656638e-05,1707.61616280461
"Woeseia",9.31949810396418e-05,0.000103787408385377,6.62438997150261e-05,0.000102960323810218,7.95686034047047e-05,0.000105322389739411,6.49060918800706e-05,9.30102625818904e-05,"v_369",33,0.000128899200824955,2355.95621431677
"Gynuella",1.0426411671868e-05,8.53538465643391e-06,1.19661353676493e-05,1.60875505953466e-05,1.11109311060624e-05,1.38153171507849e-05,8.51227434492729e-06,1.03045012489217e-05,"v_395",33,0.000113365831538374,680.743641839857
"Caballeronia",0.00128380549743267,0.00148200098967426,0.00120818862195717,0.00170635286647977,0.00187695883923314,0.00197015736267148,0.00119278244258294,0.00143318887789322,"v_558",33,8.1839757754317e-05,8799.89387257488
"Chondromyces",0.000675645759092759,0.000755130501369212,0.000665176348378155,0.00093844045139522,0.00114865522608738,0.00107278266100083,0.000635583151087904,0.000660621035565689,"v_676",33,9.10415149308085e-05,3864.07319513996
"Stigmatella",0.000446978840097408,0.000604577792177155,0.000851629072015253,0.00101995070774498,0.000714325344980074,0.000812542445233522,0.000660765296024981,0.000632458995503191,"v_681",33,9.55109837631328e-05,3258.27734982048
"Paraoerskovia",0.000106406530075913,0.000119925740718971,0.000163928233533288,0.000125482894643704,0.000138564063406571,0.000130857442225974,0.00016918145260543,0.000177172681159471,"v_838",33,0.000116211504938989,1410.31963100282
