"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Idiomarina","256","289","228","22","312","334","53","366"
"Moritella","134","130","112","13","139","117","37","155"
"Psychromonas","77","69","77","0","89","114","11","107"
"Sulfurifustis","5046","6262","6092","647","8051","8643","1168","9837"
"Sulfuricaulis","2699","3285","2349","274","3489","3724","515","4297"
"Acidiferrobacter","1600","1662","1734","166","2137","2360","295","2555"
"Vibrio","4763","5552","3970","378","6627","5938","885","6947"
"Photobacterium","751","848","653","70","788","938","183","1103"
"Salinivibrio","168","192","170","15","190","189","30","272"
"Grimontia","95","128","116","0","133","147","20","139"
"Thaumasiovibrio","59","83","49","0","78","60","15","80"
"Aliivibrio","40","59","55","0","54","44","0","60"
"Paraphotobacterium","12","13","0","0","14","16","0","17"
"Acinetobacter","4552","12010","5613","350","5588","3755","731","4748"
"Psychrobacter","430","487","408","31","489","483","79","660"
"Moraxella","322","384","308","26","399","367","62","469"
"Aquirhabdus","103","82","72","0","104","116","15","123"
"Candidatus_Endoriftia","766","858","731","75","1001","1028","141","1122"
"Candidatus_Vesicomyosocius","79","65","40","0","60","95","0","80"
"Candidatus_Ruthia","23","42","60","0","18","19","0","46"
"Sedimenticola","515","552","500","53","614","637","95","772"
"Candidatus_Reidiella","459","449","316","36","483","554","81","527"
"Thiolapillus","384","337","277","24","371","435","76","507"
"Pseudohongiella","221","250","174","14","235","276","41","309"
"Gallaecimonas","140","154","143","0","157","140","37","210"
"Candidatus_Thioglobus","57","49","17","0","34","30","0","64"
"Ignatzschineria","37","32","29","0","37","39","0","54"
"Celerinatantimonas","31","32","64","0","64","53","0","43"
"Candidatus_Pseudothioglobus","40","18","18","0","29","25","0","21"
"Candidatus_Nardonella","18","20","13","0","0","17","0","28"
"Candidatus_Steffania","13","10","14","0","17","0","0","16"
"Legionella","1686","1695","1042","128","2223","2083","391","2790"
"Tatlockia","56","42","32","0","40","57","0","67"
"Fluoribacter","49","60","27","0","111","73","0","92"
"Aquicella","526","521","309","33","701","496","72","616"
"Coxiella","315","300","232","24","396","390","64","465"
"Rickettsiella","109","100","33","0","97","92","13","107"
"Immundisolibacter","2762","3449","2986","300","3626","4227","539","4822"
"Thiomicrospira","312","278","178","22","305","267","44","304"
"Thiomicrorhabdus","242","238","201","27","305","302","41","332"
"Methylophaga","259","253","213","24","284","312","48","375"
"Hydrogenovibrio","201","217","170","18","219","255","30","282"
"Piscirickettsia","78","64","53","0","74","64","11","86"
"Thiosulfativibrio","58","39","31","0","43","51","0","49"
"Cycloclasticus","57","67","61","0","79","64","11","109"
"Thiosulfatimonas","54","62","51","0","86","87","11","86"
"Thiothrix","907","893","792","75","1024","1016","145","1159"
"Beggiatoa","61","46","63","0","103","82","16","102"
"Francisella","183","310","122","12","157","357","38","272"
"Allofrancisella","41","36","28","0","24","27","0","63"
"Salinisphaera","3380","3794","2915","280","3844","4369","555","5000"
"Haemophilus","249","295","214","0","302","278","29","402"
"Pasteurella","729","484","506","0","822","665","63","916"
"Aggregatibacter","207","215","216","22","274","309","26","331"
"Actinobacillus","211","241","280","20","308","240","39","331"
"Mannheimia","182","177","197","14","206","184","41","263"
"Avibacterium","74","76","51","0","72","71","12","123"
"Basfia","53","42","31","0","58","55","0","49"
"Glaesserella","53","51","76","0","79","110","0","119"
"Rodentibacter","42","45","46","0","46","49","0","73"
"Histophilus","33","40","18","0","39","28","0","48"
"Gallibacterium","29","30","31","0","28","45","0","40"
"Frederiksenia","28","23","13","0","27","25","0","31"
"Bibersteinia","23","40","17","0","22","94","0","23"
"Bisgaardia","13","0","0","0","14","0","0","20"
"Otariodibacter","12","12","0","0","17","0","0","25"
"Vespertiliibacter","11","18","0","0","0","0","0","0"
"Cardiobacterium","922","1085","784","67","1124","1202","157","1538"
"Suttonella","53","55","43","0","84","86","16","92"
"Dichelobacter","57","69","46","0","68","82","14","76"
"Kangiella","185","172","133","17","190","217","45","262"
"Gilliamella","73","78","39","0","75","44","15","89"
"Zophobihabitans","37","22","29","0","19","17","0","19"
"Frischella","13","14","0","0","12","0","0","27"
"Variovorax","169842","609140","94450","10820","198834","161151","24644","179412"
"Hydrogenophaga","65927","63572","44623","7865","84689","92052","10759","69993"
"Acidovorax","66469","56680","40780","4218","80274","63976","9905","62204"
"Ramlibacter","53121","43396","36043","4157","88206","60587","7544","42720"
"Rhodoferax","25915","26267","16469","1893","34318","27304","4254","27186"
"Comamonas","28707","54000","20893","2372","38825","36286","6536","36430"
"Schlegelella","21272","18175","17262","1682","25459","24224","3256","23903"
"Polaromonas","13023","14343","7365","862","14080","11334","4633","14547"
"Diaphorobacter","22265","21510","16487","3193","31236","26136","3923","27136"
"Delftia","18514","22384","13880","1480","26405","27657","3361","22488"
"Kinneretia","13424","12094","8804","992","14527","13567","2139","15361"
"Ottowia","8007","7605","5384","519","10761","8884","1296","8651"
"Alicycliphilus","12541","12266","11102","1243","21004","17557","2112","17949"
"Melaminivora","8720","8447","6992","721","12494","10632","1433","10757"
"Hylemonella","3529","3282","2053","234","4175","3967","498","3181"
"Serpentinimonas","3658","4144","2980","287","4981","4673","676","5305"
"Verminephrobacter","2930","4916","2029","219","3663","3128","476","3699"
"Pulveribacter","3341","2977","2311","258","4791","3796","512","3917"
"Simplicispira","2453","2347","1634","165","3133","2748","445","2810"
"Limnohabitans","1488","1514","848","88","1640","1333","251","1628"
"Curvibacter","1032","1172","609","57","1139","981","159","1035"
"Candidatus_Symbiobacter","600","764","509","49","906","825","116","1003"
"Burkholderia","187932","166916","196899","12349","324476","222140","48048","284831"
"Cupriavidus","78096","107672","81021","8440","125204","135536","16099","128983"
"Paraburkholderia","62577","74744","55725","6079","90597","109727","11781","94162"
"Ralstonia","32140","48321","50635","2397","39917","35014","4910","39873"
"Pandoraea","18619","23511","16866","1734","26935","25196","3722","30106"
"Caballeronia","17977","20662","15448","1591","26184","25384","3363","26565"
"Lautropia","2320","2504","1635","187","2378","2648","481","3484"
"Polynucleobacter","1941","2315","1416","128","2192","2145","384","2680"
"Chitinimonas","1259","1739","963","85","1645","1543","234","1801"
"Mycetohabitans","1041","1146","1083","118","1581","1379","212","1668"
"Mycoavidus","363","414","251","27","360","342","69","474"
"Limnobacter","250","366","188","20","240","262","39","284"
"Candidatus_Vallotia","205","216","156","17","230","238","27","298"
"Ephemeroptericola","125","134","110","11","126","151","25","163"
"Achromobacter","144800","62598","43395","4846","124463","64471","11849","92178"
"Bordetella","41807","58986","51064","4335","58878","82782","8819","73959"
"Pigmentiphaga","5384","6747","5023","516","7809","7295","1181","9090"
"Castellaniella","3870","4445","3676","452","5466","5510","790","7051"
"Alcaligenes","2981","2432","1608","158","2156","2425","352","3072"
"Orrella","3030","3978","2867","261","4306","4284","674","5388"
"Pusillimonas_(ex_Stolz_et_al._2005)","1597","1897","1194","133","1718","1812","291","2598"
"Paralcaligenes","812","953","693","58","1057","909","147","1247"
"Kerstersia","885","1083","733","75","1009","1093","134","1263"
"Advenella","687","855","542","69","802","804","145","951"
"Oligella","123","284","108","0","177","178","32","247"
"Paenalcaligenes","66","84","43","0","90","70","12","100"
"Taylorella","86","27","24","0","43","29","0","42"
"Basilea","33","42","25","0","36","40","0","36"
"Pelistega","21","18","13","0","46","34","0","43"
"Massilia","86153","646081","65791","6112","101953","88131","16066","101876"
"Duganella","8927","42760","6078","608","9632","8427","1999","9998"
"Herbaspirillum","14441","30545","11566","1167","18537","15993","3107","19817"
"Janthinobacterium","17050","64804","11411","1113","19840","15961","2823","18893"
"Collimonas","5521","16160","4549","416","6547","6472","1187","7854"
"Noviherbaspirillum","3590","6199","3662","344","5774","4766","774","5145"
"Undibacterium","732","2775","567","48","864","768","168","950"
"Herminiimonas","360","688","318","29","357","339","66","419"
"Glaciimonas","326","512","243","27","329","321","47","423"
"Oxalobacter","165","317","153","20","229","305","41","277"
"Rhizobacter","29346","27480","16065","1973","33491","29634","5247","29615"
"Sphaerotilus","15642","14533","11719","1289","21778","19422","2508","20269"
"Rubrivivax","13968","11665","8446","990","16176","14991","1862","15437"
"Methylibium","12862","12257","8297","948","15815","15322","2139","16290"
"Aquincola","11262","10530","7578","861","13491","12240","1592","12618"
"Mitsuaria","8504","6824","4829","583","9413","8107","1176","8478"
"Leptothrix","8753","8463","5734","717","11338","10012","1293","10635"
"Thiomonas","5604","6329","4658","477","7170","8776","1168","8923"
"Ideonella","6378","5551","4007","510","8220","6917","862","7024"
"Xylophilus","4839","5127","3556","322","6831","5731","750","6208"
"Roseateles","3510","3311","2124","236","4188","4652","565","3788"
"Aquabacterium","3508","3301","2523","290","4383","4089","585","4332"
"Tepidimonas","3680","3783","3187","323","5533","4951","659","5681"
"Inhella","2235","2123","1462","129","2644","2353","360","2686"
"Paucibacter","2171","2062","1165","115","2230","1999","362","2255"
"Candidatus_Ichthyocystis","34","42","27","0","24","50","0","61"
"Sutterella","1680","2032","1607","170","2634","2372","364","2889"
"Turicimonas","99","153","91","0","138","158","22","153"
"Usitatibacter","29882","32854","20299","2453","46500","38597","6269","46670"
"Nitrosospira","11174","8179","13551","1409","7883","11406","3470","15319"
"Nitrosomonas","6447","8124","3765","762","2059","4296","2182","11831"
"Denitratisoma","3923","5212","3944","430","6164","6711","1075","8145"
"Sulfuritalea","2579","3668","2388","271","4212","4019","603","4917"
"Methyloversatilis","2282","2935","2123","235","3367","3372","487","4202"
"Sterolibacterium","1772","2457","1777","198","2803","2666","472","3359"
"Sideroxydans","2344","3250","2018","270","3769","3428","550","4233"
"Ferrigenium","1702","2138","1428","187","4267","2378","368","2968"
"Ferriphaselus","554","674","452","57","819","783","134","969"
"Candidatus_Nitrotoga","463","502","419","38","573","587","96","775"
"Gallionella","352","475","313","37","510","516","64","576"
"Thiobacillus","3209","4090","3101","323","5283","4982","738","6145"
"Sulfuritortus","2552","3419","2587","308","4199","4274","633","5392"
"Sulfuriferula","1791","2209","1435","180","2326","2374","386","2988"
"Sulfurimicrobium","1639","2467","1407","164","2525","2292","377","2880"
"Sulfuricella","838","1024","779","109","1146","1211","186","1507"
"Methylovorus","547","631","438","49","622","616","112","762"
"Methylobacillus","543","663","445","45","633","728","130","809"
"Methylophilus","380","271","190","24","238","288","46","379"
"Methylotenera","189","318","92","12","178","185","34","242"
"Candidatus_Methylopumilus","145","186","99","12","181","180","35","213"
"Methyloradius","115","155","72","0","92","95","26","143"
"Thauera","19612","25468","21739","2710","33596","34836","4652","38486"
"Azoarcus","14527","18032","15381","3369","29411","25430","3102","25306"
"Nitrogeniibacter","4038","5119","4109","401","6087","6010","896","7107"
"Aromatoleum","13342","16541","15411","3165","24476","26977","3101","25490"
"Azospira","9810","13028","10489","1766","17919","18240","2418","19665"
"Niveibacterium","2152","2876","1988","205","3633","3221","461","3794"
"Oryzomicrobium","1734","2070","1650","191","2705","2547","368","3169"
"Rugosibacter","508","574","424","40","650","659","83","793"
"Dechloromonas","3760","4907","3567","406","6367","5674","768","6079"
"Ferribacterium","3310","4060","3045","364","5479","5021","621","5355"
"Quatrionicoccus","1523","2059","1457","194","2668","2410","330","2692"
"Fluviibacter","308","290","238","25","339","400","64","444"
"Chromobacterium","10685","13650","10653","975","15099","14597","2236","18306"
"Iodobacter","208","268","203","13","303","298","43","320"
"Jeongeupia","3232","4362","3104","339","4963","4648","677","5793"
"Paludibacterium","2735","3501","2648","286","3765","3947","601","4805"
"Vogesella","2106","2661","1961","200","2774","2648","398","3295"
"Pseudogulbenkiania","2079","2842","4543","285","9169","3219","481","3869"
"Aquitalea","1665","2046","1460","139","2052","1938","314","2530"
"Microvirgula","1373","1786","1248","143","2096","2009","271","2321"
"Laribacter","1759","2064","1578","216","2265","2562","386","3069"
"Aquaspirillum","672","829","606","67","902","863","145","1130"
"Chitinibacter","336","493","255","20","429","418","61","485"
"Deefgea","242","304","212","25","338","302","59","362"
"Neisseria","5503","5843","4959","449","6528","6996","1020","8467"
"Crenobacter","2754","3388","2717","271","3924","4026","577","4968"
"Chitinolyticbacter","1597","2088","1441","150","2207","2194","322","2764"
"Vitreoscilla","1024","1098","837","106","1309","1261","167","1502"
"Kingella","559","684","591","51","835","835","120","1066"
"Eikenella","537","514","427","43","665","675","113","820"
"Uruburuella","391","488","384","36","548","516","73","682"
"Paralysiella","199","198","190","22","247","246","36","333"
"Conchiformibius","90","146","128","0","185","177","0","194"
"Alysiella","139","114","75","0","145","120","37","153"
"Aquella","46","54","26","0","62","36","0","51"
"Snodgrassella","53","45","41","0","48","33","0","59"
"Morococcus","106","157","147","0","202","172","0","144"
"Simonsiella","18","23","21","0","26","21","0","25"
"Casimicrobium","2346","3141","2205","263","3926","3560","567","4416"
"Candidatus_Kinetoplastibacterium","61","51","26","0","40","49","25","79"
"Candidatus_Profftella","21","13","0","0","23","21","0","19"
"Sorangium","140237","149572","106155","9900","148610","132735","32037","114655"
"Polyangium","20372","22317","24295","2991","38787","31231","5112","26471"
"Chondromyces","9461","10528","8505","875","16024","13822","1792","12245"
"Pajaroellobacter","268","228","160","15","259","289","33","239"
"Sandaracinus","32856","33132","32071","2846","46810","47411","6260","43880"
"Labilithrix","18247","15335","11451","1119","23582","19758","2700","16784"
"Archangium","45050","43084","122482","5316","70758","47880","8565","58979"
"Stigmatella","6259","8429","10889","951","9965","10469","1863","11723"
"Cystobacter","6859","14752","14665","823","15493","14424","3179","23202"
"Melittangium","5151","6078","9537","586","8683","8323","1336","9471"
"Corallococcus","19428","22795","27920","2464","31727","32606","4932","31484"
"Myxococcus","39063","40339","56260","2304","140802","33221","14223","84115"
"Pyxidicoccus","8385","11588","18337","1039","35185","14283","2292","15670"
"Anaeromyxobacter","35729","47240","62698","6412","219851","85951","9422","73466"
"Vulgatibacter","4770","5991","5674","575","8597","7515","1253","8963"
"Haliangium","13480","17679","13461","1436","23961","22664","2652","19976"
"Geomonas","8123","10450","13769","1458","26064","23509","2154","16079"
"Geobacter","6199","8636","10377","959","17959","14756","1668","13473"
"Citrifermentans","2639","3410","4443","577","7882","7890","690","5040"
"Geotalea","829","1186","1437","153","2713","2215","246","1968"
"Geoalkalibacter","1040","1341","1388","129","1584","1944","232","1839"
"Trichlorobacter","378","443","471","49","798","698","60","694"
"Desulfuromonas","5065","6968","7740","771","10145","10996","1398","11461"
"Pelobacter","936","1288","1442","126","2313","1839","217","2144"
"Syntrophotalea","1070","1361","1426","161","1897","2033","278","2136"
"Desulfovibrio","4528","5941","6298","597","8263","7742","1094","9450"
"Pseudodesulfovibrio","4689","6519","6899","568","8606","8643","1279","10169"
"Solidesulfovibrio","2588","3318","3934","352","5128","4655","701","5723"
"Oceanidesulfovibrio","1120","1506","1613","156","2097","2072","315","2465"
"Desulfocurvibacter","919","1178","1304","91","1733","1580","236","1900"
"Desulfolutivibrio","898","1195","1329","99","1733","1616","218","2002"
"Megalodesulfovibrio","667","944","909","79","1201","1101","174","1299"
"Oleidesulfovibrio","545","765","675","80","744","1030","100","1026"
"Maridesulfovibrio","138","154","160","19","219","209","36","287"
"Paradesulfovibrio","107","141","126","13","195","176","20","235"
"Lawsonia","36","45","26","0","45","37","10","42"
"Desulfomicrobium","978","1301","1398","127","1722","1844","246","2063"
"Desulfohalobium","194","301","334","35","376","405","68","543"
"Desulfosarcina","2079","2778","3254","266","3716","3842","525","4572"
"Desulfococcus","497","649","814","69","941","1009","144","1187"
"Desulfatibacillum","396","505","549","47","752","681","103","858"
"Desulfoluna","393","483","512","35","649","621","73","744"
"Desulfonema","191","254","296","23","344","389","50","394"
"Desulfobacter","188","230","261","21","336","371","59","396"
"Desulforapulum","129","209","206","21","271","213","30","310"
"Desulfobacula","42","60","64","0","71","84","14","71"
"Desulfobulbus","1321","1874","1801","176","2234","2441","350","2751"
"Desulfurivibrio","428","559","650","49","747","758","140","933"
"Desulfomarina","97","96","74","0","79","113","17","124"
"Desulfosudis","411","557","628","62","825","804","134","982"
"Desulfosediminicola","196","272","263","25","305","341","55","381"
"Desulfotalea","78","76","89","0","106","123","20","139"
"Desulfocapsa","55","72","60","0","69","92","0","89"
"Persicimonas","3341","4142","4245","384","5947","5670","809","6535"
"Bradymonas","1551","2008","1956","178","2758","2621","369","3151"
"Syntrophobacter","1042","1498","1610","134","1896","1996","242","2213"
"Desulfoglaeba","600","869","962","90","1239","1159","191","1470"
"Desulfarculus","1820","2621","2868","253","3117","3633","501","4067"
"Desulfobacca","239","312","397","29","456","475","73","506"
"Desulfomonile","217","340","520","35","450","490","87","568"
"Syntrophus","210","289","347","32","453","411","63","419"
"Dissulfurimicrobium","104","158","203","15","251","246","40","266"
"Candidatus_Desulfofervidus","38","66","132","12","111","114","0","156"
"Hippea","20","34","42","0","76","58","0","48"
"Campylobacter","814","985","820","79","1218","1083","195","1374"
"Sulfurimonas","473","504","585","41","735","702","106","903"
"Sulfuricurvum","52","34","38","0","68","69","0","73"
"Helicobacter","391","495","589","30","620","563","107","836"
"Wolinella","31","43","36","0","74","58","0","64"
"Nitratifractor","176","229","222","24","320","288","56","413"
"Sulfurovum","180","176","175","16","225","263","44","277"
"Arcobacter","76","100","61","0","76","62","21","89"
"Aliarcobacter","62","104","37","0","46","49","0","75"
"Malaciobacter","32","42","20","0","36","43","0","55"
"Pseudoarcobacter","22","29","0","0","14","13","0","17"
"Halarcobacter","11","35","20","0","12","21","0","15"
"Hydrogenimonas","194","216","284","21","322","300","42","421"
"Sulfurospirillum","145","167","162","17","207","233","34","260"
"Nitratiruptor","64","75","81","0","108","122","20","153"
"Nitrosophilus","43","54","67","0","71","80","15","138"
"Nautilia","41","54","56","0","47","60","12","52"
"Caminibacter","40","43","59","0","78","63","11","106"
"Acidithiobacillus","1677","1940","1922","169","2308","2403","361","3005"
"Bdellovibrio","836","708","689","119","944","950","158","1018"
"Pseudobdellovibrio","119","89","40","0","82","68","14","83"
"Bacteriovorax","87","85","58","0","78","69","20","133"
"Halobacteriovorax","71","59","35","0","58","58","16","104"
"Fluviispira","35","25","26","0","48","42","0","57"
"Silvanigrella","30","30","29","0","30","32","0","46"
"Hydrogenophilus","561","697","679","72","940","1002","139","1200"
"Mariprofundus","327","383","324","40","472","472","73","511"
"Streptomyces","992934","801240","1263357","69192","1039997","986907","226028","1631472"
"Yinghuangia","17660","4280","5871","337","5066","4469","1121","7735"
"Kitasatospora","15003","14016","19420","1141","20411","16976","3527","28802"
"Streptacidiphilus","9665","8957","12456","790","12842","10625","2238","18678"
"Mycolicibacterium","355948","136712","176694","15819","152656","163120","40935","238816"
"Mycobacterium","168888","114702","151193","9382","159746","125607","32096","205659"
"Mycolicibacter","11656","9741","9662","718","9674","9896","2296","21408"
"Mycobacteroides","7383","6260","8342","519","7154","8675","1942","13157"
"Mycolicibacillus","1300","1438","1907","138","1766","1540","383","3077"
"Hoyosella","590","636","744","51","777","672","171","1194"
"Rhodococcus","81896","198518","89200","5804","73962","68386","20900","150204"
"Nocardia","54616","58931","81873","4748","73529","63351","15345","113292"
"Corynebacterium","34426","38748","46970","3264","48687","46504","9700","78778"
"Gordonia","28963","30583","40137","2703","37367","32929","8641","61472"
"Skermania","1246","1413","1679","88","1563","1430","402","2706"
"Tsukamurella","8813","9562","12102","972","12650","11085","2643","19076"
"Dietzia","5444","6068","7270","464","6987","6710","1608","11591"
"Tomitella","3174","3371","4189","279","4228","3744","894","6756"
"Segniliparus","626","696","914","62","942","863","174","1476"
"Lawsonella","117","138","176","17","125","167","25","249"
"Microbacterium","137626","120434","115324","8353","104224","108080","28381","190926"
"Agromyces","41803","55745","44494","3359","35839","43648","12775","104496"
"Curtobacterium","17474","17247","20983","1248","20156","19298","4078","31299"
"Rathayibacter","15831","16057","18759","1217","18441","17282","3979","29660"
"Protaetiibacter","16536","9636","7371","637","6920","8701","1919","12456"
"Leifsonia","18496","17573","15549","2515","32915","17250","5243","25773"
"Agrococcus","13134","12696","14817","908","14814","13650","3275","24543"
"Leucobacter","11816","12726","14406","1045","14663","14050","3107","23920"
"Clavibacter","14862","15377","18474","1284","19010","18581","3305","31254"
"Salinibacterium","7057","5781","5559","411","5438","5764","1388","10074"
"Cryobacterium","4464","4287","4704","313","4381","4469","1085","8046"
"Frondihabitans","3538","3350","3952","270","3871","3750","876","6221"
"Microcella","4063","3727","4672","282","3969","4005","847","6241"
"Microterricola","3767","3665","3965","253","3638","3613","850","6737"
"Plantibacter","2998","3132","3358","180","3132","3053","739","5324"
"Herbiconiux","2404","2226","2460","161","2332","2486","514","4192"
"Cnuibacter","2372","2329","2772","206","2761","3002","571","4209"
"Subtercola","1899","1912","1943","149","2095","1887","481","3505"
"Frigoribacterium","2243","2188","2546","155","2463","2369","514","4035"
"Mycetocola","1952","1970","2174","162","2150","2192","497","3661"
"Gryllotalpicola","2050","2169","2335","168","2431","2347","472","3617"
"Chryseoglobus","2004","1901","2132","135","1893","2019","434","3227"
"Humibacter","1948","1799","1902","133","2025","1977","419","3221"
"Amnibacterium","1908","1725","1952","135","1891","1806","457","3222"
"Marisediminicola","1509","1389","1561","109","1412","1559","326","2585"
"Diaminobutyricimonas","1424","1342","1402","100","1240","1246","336","2828"
"Gulosibacter","1414","1499","1777","116","1777","1682","380","2723"
"Glaciihabitans","1205","1046","1053","74","1146","1077","264","1912"
"Agreia","1045","970","1040","61","1107","990","228","1712"
"Rhodoluna","188","193","153","0","178","224","41","315"
"Aquiluna","149","197","177","22","178","188","43","339"
"Pseudoclavibacter","258","266","319","23","297","306","75","521"
"Aurantimicrobium","200","211","189","28","218","181","39","329"
"Pontimonas","100","88","112","0","99","123","26","169"
"Arthrobacter","61332","73734","63822","3343","41799","42633","36767","186254"
"Kocuria","13976","13677","20362","1069","14298","14543","5690","37832"
"Pseudarthrobacter","12577","14895","16521","710","8885","8750","5429","32788"
"Micrococcus","6720","7996","8440","539","8756","8497","1803","15362"
"Paenarthrobacter","4980","4015","3578","268","3071","2984","1300","8059"
"Sinomonas","3933","4275","5709","328","5480","4967","1169","9089"
"Glutamicibacter","3721","4178","4433","331","4360","4158","1100","8179"
"Citricoccus","2981","4110","2459","154","2169","2238","899","5619"
"Rothia","2567","2816","3413","245","3370","3158","756","5678"
"Nesterenkonia","582","613","743","41","689","637","175","1246"
"Paeniglutamicibacter","333","446","446","36","458","365","131","928"
"Neomicrococcus","284","314","301","21","293","334","77","645"
"Psychromicrobium","220","281","331","21","288","274","82","595"
"Auritidibacter","167","207","184","17","210","203","55","394"
"Renibacterium","139","153","175","0","168","165","40","303"
"Cellulomonas","55036","67303","64294","4849","61456","66585","14154","97097"
"Actinotalea","3429","3609","4674","237","3982","3747","984","6881"
"Oerskovia","2404","2609","3003","193","2907","2553","696","5198"
"Pseudactinotalea","1710","1726","2384","160","2267","2028","474","3723"
"Paraoerskovia","1490","1672","2096","117","1933","1686","477","3284"
"Cellulosimicrobium","54765","21849","30056","1574","17732","19010","7168","42959"
"Xylanimonas","7095","7829","9935","687","9782","8996","2019","14461"
"Isoptericola","6414","7023","8826","521","7653","7403","1823","12845"
"Janibacter","9499","9262","12058","721","10619","9499","2746","18959"
"Phycicoccus","9231","9749","10390","562","9206","7653","2700","18904"
"Pedococcus","8697","5122","8261","372","5661","4168","1722","10330"
"Tetrasphaera","5568","3582","5958","276","4375","3096","1251","7765"
"Intrasporangium","4256","4604","6196","374","4880","4304","1319","14370"
"Arsenicicoccus","3157","3019","4128","267","3790","3141","979","6448"
"Ornithinimicrobium","11578","11790","14728","902","12644","11817","3798","24745"
"Serinicoccus","8793","8746","11361","623","9950","9181","2728","18200"
"Brachybacterium","11477","12219","15313","996","15553","14232","3234","24240"
"Dermabacter","1289","1483","1655","140","1898","1639","306","2555"
"Devriesea","178","220","221","25","275","241","43","382"
"Brevibacterium","12716","14156","16897","1120","16996","15691","3537","27926"
"Georgenia","12855","12203","16073","946","13453","12598","3655","24750"
"Dermacoccus","3786","3903","4576","315","4655","3925","1030","7350"
"Luteipulveratus","2527","2301","3011","188","2697","2431","656","4800"
"Allobranchiibius","2195","2051","2600","172","2284","1995","592","4106"
"Yimella","1385","1295","1489","93","1440","1355","399","2769"
"Ruania","7840","8151","10193","635","9224","8511","2214","16405"
"Pengzhenrongella","3339","3848","4476","267","4388","3924","938","7178"
"Luteimicrobium","2792","2949","3846","245","3928","3182","753","5432"
"Beutenbergia","3174","3622","4365","270","4087","3598","906","6479"
"Miniimonas","2855","3128","3782","295","3797","3605","753","6020"
"Sanguibacter","4240","4532","5526","371","5547","4877","1126","8589"
"Gephyromycinifex","861","968","1033","80","1085","1029","258","1954"
"Austwickia","648","759","850","51","873","790","228","1447"
"Dermatophilus","169","239","230","20","245","218","47","394"
"Kytococcus","2426","1950","2482","159","2295","2237","537","4646"
"Demequina","803","794","788","62","835","748","186","1309"
"Jonesia","115","221","152","0","152","139","36","237"
"Tropheryma","34","49","38","0","45","32","18","102"
"Micromonospora","224845","214075","293318","14875","201200","190715","44426","311682"
"Actinoplanes","158110","192894","163830","8897","158864","129640","34387","229147"
"Plantactinospora","26044","24494","27469","1491","19521","19814","4195","30915"
"Dactylosporangium","23475","16534","17882","1175","32187","33917","3997","23792"
"Couchioplanes","25223","24749","22381","1252","23532","15205","5553","40293"
"Phytohabitans","21495","22995","85424","4397","26278","28997","5283","36332"
"Catellatospora","22575","18646","20807","2049","16070","26710","4575","25209"
"Actinocatenispora","10675","10254","14007","902","13059","11142","2354","18727"
"Polymorphospora","8132","8858","11843","634","8952","8626","1959","14272"
"Natronosporangium","3362","3890","4874","302","4174","4011","857","6700"
"Verrucosispora","4911","5132","6057","359","5071","4719","1080","8394"
"Salinispora","2329","2499","3191","217","2742","2415","554","4251"
"Nocardioides","374485","332224","385500","20173","239949","234527","162576","664021"
"Aeromicrobium","23981","20923","25355","1582","21583","21359","7646","42827"
"Pimelobacter","6922","5450","7302","414","5968","5440","1827","10539"
"Marmoricola","6621","7044","7030","361","5350","5166","3154","13374"
"Friedmanniella","4147","5140","5689","306","4783","4253","1703","11073"
"Mumia","3384","3421","4402","243","3518","3389","1083","6424"
"Micropruina","1492","1911","2093","137","2157","1931","450","3613"
"Microlunatus","12473","15881","17107","905","14551","12317","4828","30647"
"Tessaracoccus","10188","11615","18991","3486","14673","18184","3097","27712"
"Brevilactibacter","4707","5512","6694","403","7113","6104","1466","10757"
"Acidipropionibacterium","3826","4262","5559","339","5698","5080","1160","9045"
"Propionibacterium","3390","4305","5250","318","5235","4759","1235","8358"
"Auraticoccus","2526","2910","3733","211","3181","2829","979","6211"
"Arachnia","1460","1595","2036","145","2040","1906","441","3246"
"Cutibacterium","1673","2017","2249","239","2445","2199","516","12038"
"Raineyella","1385","1608","2079","126","2131","1816","476","3493"
"Vaginimicrobium","62","105","109","0","115","112","27","159"
"Kribbella","17149","10405","31164","1073","19943","15436","3747","29052"
"Actinopolymorpha","4199","3715","6880","361","4907","4430","1346","8728"
"Actinomadura","242991","45994","122569","4138","57101","59650","14816","107799"
"Thermomonospora","9558","8141","14553","776","11774","10185","2312","18135"
"Nonomuraea","108612","49344","134749","4387","56035","63146","9329","72000"
"Streptosporangium","19238","19427","23014","1130","16562","15890","4285","57494"
"Thermobispora","3856","4447","6216","411","6273","5419","1050","8164"
"Nocardiopsis","11683","11770","17055","1075","15454","14064","4876","42561"
"Thermobifida","5229","7699","7271","436","6471","6240","1404","12129"
"Streptomonospora","2523","2575","3945","264","3525","3191","752","5716"
"Spiractinospora","1551","1678","2352","141","2135","1944","469","3684"
"Amycolatopsis","108423","101262","195925","7388","139428","114074","25849","192109"
"Pseudonocardia","86284","103059","245473","9511","80434","87697","34407","230465"
"Saccharothrix","19413","21018","52964","1807","28872","26754","5869","40118"
