"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Myroides","988","147","93","40","112","75","26"
"Winogradskyella","830","200","127","68","154","166","74"
"Nonlabens","691","193","143","77","229","175","69"
"Tenacibaculum","589","109","69","50","146","241","53"
"Cellulophaga","524","97","69","24","90","82","30"
"Maribacter","534","141","105","59","167","100","39"
"Formosa","497","98","92","49","126","70","40"
"Antarcticibacterium","455","133","90","83","213","121","40"
"Salegentibacter","609","159","99","50","160","89","45"
"Aequorivita","383","125","98","49","148","114","29"
"Robiginitalea","362","295","195","103","516","196","79"
"Aquimarina","318","87","52","25","62","65","21"
"Algibacter","348","51","43","30","62","42","24"
"Sinomicrobium","264","98","77","55","160","92","33"
"Lacinutrix","323","58","36","18","45","50","13"
"Kordia","266","105","71","32","125","67","18"
"Zunongwangia","442","117","58","39","79","52","30"
"Dokdonia","229","67","39","24","91","44","10"
"Flagellimonas","203","74","40","20","60","36","19"
"Leeuwenhoekiella","229","55","36","27","56","59","17"
"Lutibacter","193","51","31","13","36","37","12"
"Mariniflexile","175","39","21","23","61","23","0"
"Tamlana","179","40","26","20","24","34","15"
"Zhouia","176","43","28","21","63","19","17"
"Seonamhaeicola","158","32","18","0","37","21","0"
"Psychroflexus","144","38","24","0","44","38","0"
"Zobellia","139","42","33","17","81","26","18"
"Arenibacter","169","36","38","13","72","22","20"
"Mesoflavibacter","154","27","19","0","23","29","0"
"Aggregatimonas","127","43","32","28","78","43","27"
"Amniculibacterium","169","62","31","0","74","24","30"
"Olleya","244","56","22","0","49","21","0"
"Gilvibacter","123","30","26","17","51","26","0"
"Siansivirga","130","20","15","0","19","0","0"
"Muriicola","106","51","13","18","42","22","0"
"Euzebyella","160","46","28","23","76","38","24"
"Constantimarinum","101","40","20","0","57","25","15"
"Galbibacter","101","37","16","15","33","31","15"
"Pukyongia","96","38","23","10","52","21","10"
"Sediminicola","99","21","14","16","31","16","0"
"Marixanthomonas","112","42","15","0","35","13","0"
"Flavivirga","90","15","10","0","24","0","0"
"Bizionia","98","19","0","0","16","19","0"
"Changchengzhania","90","33","28","0","27","24","0"
"Aegicerativicinus","81","25","23","0","20","17","10"
"Urechidicola","122","24","17","0","39","19","0"
"Wenyingzhuangia","87","16","0","0","19","30","13"
"Sabulilitoribacter","90","13","11","0","0","11","0"
"Costertonia","90","44","26","0","70","22","12"
"Gillisia","173","35","14","0","13","16","0"
"Oceanihabitans","94","36","16","0","19","17","0"
"Croceibacter","71","21","11","0","41","26","0"
"Psychroserpens","98","0","0","0","0","0","0"
"Blattabacterium","458","164","101","83","243","176","29"
"Fluviicola","284","100","60","25","45","86","90"
"Crocinitomix","77","49","36","18","40","25","0"
"Owenweeksia","137","51","34","26","66","36","18"
"Croceimicrobium","115","64","33","19","66","45","16"
"Candidatus_Sulcia","49","20","18","0","40","34","0"
"Candidatus_Walczuchella","22","17","0","0","21","18","0"
"Ichthyobacterium","29","14","11","0","17","0","0"
"Pseudocnuella","16563","1507","744","438","973","614","258"
"Chitinophaga","8435","3277","2699","1608","4030","1978","1239"
"Niastella","4023","1397","1483","750","1838","3613","1532"
"Flavisolibacter","3755","2499","1194","709","1568","1273","711"
"Pseudobacter","1862","663","574","356","671","530","248"
"Flavihumibacter","1680","1195","607","372","864","476","234"
"Paraflavitalea","1573","743","597","439","844","607","460"
"Lacibacter","1364","618","448","158","259","316","212"
"Niabella","1339","706","446","324","631","432","267"
"Arachidicoccus","1310","576","373","260","552","428","272"
"Ferruginibacter","1065","405","231","152","222","339","236"
"Panacibacter","995","366","244","149","236","1189","468"
"Phnomibacter","848","436","276","169","343","265","110"
"Filimonas","717","368","221","129","278","184","116"
"Sphingobacterium","17690","1900","878","575","1373","776","522"
"Pedobacter","10785","1217","735","432","1172","875","423"
"Mucilaginibacter","8165","2383","1626","1043","3093","1765","1114"
"Olivibacter","705","133","106","54","246","106","296"
"Solitalea","534","170","88","57","152","111","61"
"Pseudopedobacter","737","95","66","49","101","77","31"
"Anseongella","384","192","129","119","354","140","75"
"Alistipes","6291","5365","3476","2330","9538","5093","1887"
"Bacteroides","3037","1590","1115","723","2333","1311","480"
"Phocaeicola","478","341","238","148","513","259","111"
"Prevotella","2258","1541","1115","666","2611","1356","496"
"Paraprevotella","158","107","77","64","206","82","24"
"Pseudoprevotella","90","49","44","33","108","50","12"
"Parabacteroides","820","556","342","229","853","434","183"
"Tannerella","524","416","333","204","791","393","136"
"Sodaliphilus","430","366","235","143","621","309","113"
"Duncaniella","268","177","133","84","345","199","61"
"Muribaculum","243","168","128","65","341","184","41"
"Porphyromonas","760","609","431","258","1034","498","193"
"Proteiniphilum","169","91","67","52","160","98","27"
"Petrimonas","156","130","67","45","188","83","24"
"Dysgonomonas","75","35","14","11","27","10","0"
"Butyricimonas","216","133","102","54","175","82","21"
"Odoribacter","91","62","41","14","106","35","36"
"Barnesiella","313","281","198","135","528","245","103"
"Coprobacter","92","52","18","0","61","0","0"
"Paludibacter","118","50","28","23","63","29","19"
"Tenuifilum","84","31","22","15","61","19","11"
"Salinivirga","60","33","22","20","50","28","0"
"Draconibacterium","260","149","67","40","171","76","34"
"Maribellus","139","54","31","36","94","53","11"
"Labilibaculum","109","36","33","14","43","26","0"
"Alkalitalea","109","48","16","12","44","37","12"
"Rhodocaloribacter","5283","5018","3656","2019","10501","3881","1593"
"Rhodothermus","4361","4019","2897","1739","7883","3625","1310"
"Salinibacter","2756","2561","1858","891","4745","2261","800"
"Haliscomenobacter","486","237","170","114","402","196","82"
"Saprospira","97","63","33","31","77","40","16"
"Candidatus_Sulfidibacterium","169","90","65","34","140","61","33"
"Chlorobaculum","2085","1856","1251","807","3409","1884","648"
"Pelodictyon","609","454","343","220","907","461","164"
"Chlorobium","491","353","253","155","705","368","84"
"Prosthecochloris","916","693","491","302","1356","737","205"
"Chloroherpeton","159","165","118","56","281","158","46"
"Candidatus_Cyclonatronum","357","257","163","92","520","274","97"
"Melioribacter","170","94","76","46","208","128","29"
"Ignavibacterium","80","75","51","39","136","91","21"
"Gemmatirosa","60191","79354","56316","26934","89645","82000","83186"
"Gemmatimonas","22233","25694","16878","8353","31103","18236","16869"
"Fibrobacter","174","130","113","63","279","118","26"
"Candidatus_Cloacimonas","64","64","45","27","116","40","57"
"Luteitalea","156283","66945","42535","36842","127051","40723","16470"
"Granulicella","10024","7015","4928","3963","15385","9343","3501"
"Terriglobus","6651","4701","3434","2852","10141","6334","2359"
"Acidobacterium","5144","3562","2583","2144","7827","5169","1806"
"Candidatus_Koribacter","3572","2731","2133","1654","6139","4811","1525"
"Edaphobacter","3054","2072","1393","1218","4557","2705","2880"
"Acidisarcina","1787","1276","858","718","2631","1680","615"
"Paludibaculum","8035","4863","3456","3017","10967","7187","2057"
"Chloracidobacterium","3732","2870","2025","1515","5913","3352","926"
"Sulfidibacter","2337","1859","1650","866","3927","1638","583"
"Thermotomaculum","83","73","42","39","195","70","0"
"Nitrospira","10850","15903","8081","5484","24582","15511","3719"
"Leptospirillum","380","404","293","161","639","307","71"
"Dissulfurispira","127","241","120","40","208","108","31"
"Thermodesulfovibrio","78","118","80","40","179","82","16"
"Treponema","1218","974","720","417","1950","1055","307"
"Spirochaeta","806","712","477","270","1389","718","223"
"Salinispira","102","65","56","39","190","101","20"
"Sediminispirochaeta","86","99","68","30","134","70","22"
"Oceanispirochaeta","31","29","16","0","42","31","0"
"Thiospirochaeta","27","0","0","0","23","18","0"
"Sphaerochaeta","294","260","150","116","457","246","87"
"Breznakiella","197","116","96","64","257","147","42"
"Borrelia","70","58","62","29","128","97","30"
"Borreliella","44","50","0","0","49","75","0"
"Leptospira","575","608","325","205","807","425","151"
"Turneriella","388","463","323","122","499","240","77"
"Brachyspira","53","40","42","32","105","54","0"
"Pyramidobacter","679","503","355","185","1087","569","192"
"Fretibacterium","557","481","330","202","943","532","147"
"Aminomonas","580","490","328","201","1029","527","155"
"Cloacibacillus","481","408","267","175","808","444","150"
"Thermanaerovibrio","470","433","305","182","897","412","108"
"Jonquetella","360","305","206","130","541","331","78"
"Aminobacterium","88","76","49","22","133","56","25"
"Acetomicrobium","67","70","66","26","118","78","20"
"Thermovirga","56","60","34","32","148","88","25"
"Candidatus_Nanosynbacter","435","486","313","92","282","216","210"
"Candidatus_Saccharimonas","173","152","117","50","95","71","77"
"Candidatus_Bipolaricaulis","595","615","419","234","1052","668","179"
"Candidatus_Babela","112","67","59","42","226","111","13"
"Candidatus_Absconditicoccus","57","69","59","14","57","33","12"
"Candidatus_Chazhemtobacterium","36","40","41","24","68","46","16"
"Thermotoga","293","305","212","109","601","269","90"
"Pseudothermotoga","108","91","54","29","170","58","23"
"Fervidobacterium","67","74","49","28","127","84","20"
"Thermosipho","55","57","40","30","106","70","23"
"Kosmotoga","103","56","44","22","147","60","21"
"Mesotoga","93","91","62","44","173","88","21"
"Marinitoga","42","26","31","15","49","17","0"
"Tepiditoga","26","0","14","0","36","20","0"
"Defluviitoga","42","30","0","32","49","26","0"
"Petrotoga","20","0","0","0","39","0","0"
"Athalassotoga","59","45","32","15","98","30","0"
"Thermocrinis","129","128","97","36","182","150","31"
"Hydrogenobacter","112","101","54","34","141","50","0"
"Aquifex","39","46","29","12","63","38","0"
"Hydrogenobaculum","19","10","0","0","16","16","0"
"Sulfurihydrogenibium","92","72","55","44","158","63","14"
"Persephonella","82","65","44","34","107","58","14"
"Thermosulfidibacter","86","81","72","40","184","101","30"
"Thermovibrio","124","120","88","54","191","86","27"
"Desulfurobacterium","41","32","27","20","87","22","0"
"Thermosulfurimonas","187","208","159","80","373","187","57"
"Thermosulfuriphilus","84","107","72","35","200","92","25"
"Thermodesulfatator","88","80","50","29","89","68","27"
"Thermodesulfobacterium","48","57","57","23","118","53","0"
"Caldimicrobium","29","25","31","11","61","39","0"
"Fusobacterium","205","142","93","59","248","195","29"
"Ilyobacter","19","10","0","0","0","0","0"
"Leptotrichia","127","50","46","47","137","104","38"
"Sebaldella","23","13","0","0","39","42","0"
"Pseudoleptotrichia","11","24","0","0","28","0","0"
"Geovibrio","106","97","65","33","191","102","23"
"Flexistipes","64","69","47","20","113","35","19"
"Deferribacter","49","26","32","0","86","30","13"
"Mucispirillum","43","35","23","20","59","41","0"
"Calditerrivibrio","41","54","55","13","78","35","0"
"Denitrovibrio","40","31","17","16","56","42","12"
"Caldithrix","321","327","210","127","616","271","96"
"Desulfurispirillum","419","361","217","144","700","294","102"
"Elusimicrobium","119","76","50","42","188","84","31"
"Endomicrobium","92","92","62","40","143","101","21"
"Caldisericum","96","123","89","30","156","91","20"
"Coprothermobacter","106","105","85","75","244","105","31"
"Dictyoglomus","61","114","79","28","161","84","22"
"Atribacter","43","61","49","23","118","37","10"
"Fusarium","83417","4057","3431","2864","11769","18470","3180"
"Metarhizium","6179","1959","1200","805","3417","2868","584"
"Ustilaginoidea","1086","508","372","247","1058","773","153"
"Pochonia","356","118","74","54","249","211","49"
"Trichoderma","7007","2083","1873","1026","4585","3667","1137"
"Beauveria","3152","1287","1902","536","2682","1935","615"
"Cordyceps","1242","547","388","269","1359","912","209"
"Purpureocillium","1561","743","452","308","1600","1207","268"
"Drechmeria","1435","519","329","218","1193","869","160"
"Clonostachys","947","232","157","130","576","417","77"
"Colletotrichum","2989","889","535","374","1875","1377","262"
"Thermothelomyces","2623","715","416","2517","2511","2964","364"
"Thermothielavioides","2609","873","498","937","2874","3096","433"
"Neurospora","1339","189","128","248","745","837","194"
"Pyricularia","1769","812","514","372","1778","1185","282"
"Neopestalotiopsis","997","365","223","198","895","737","135"
"Botrytis","377","191","125","80","325","228","33"
"Penicillium","7162","415","282","218","960","1392","184"
"Aspergillus","3641","2479","2042","1997","6006","26335","6181"
"Paecilomyces","533","160","123","79","436","570","45"
"Talaromyces","298","126","80","63","300","255","40"
"Ampelomyces","2093","225","149","81","501","409","57"
"Paraphaeosphaeria","1283","370","239","157","839","583","125"
"Zymoseptoria","477","157","85","66","304","220","53"
"Cercospora","388","80","68","36","231","177","43"
"Eremothecium","297","175","109","71","407","294","53"
"Saccharomyces","108","70","42","18","73","54","19"
"Kluyveromyces","109","35","35","14","72","60","15"
"Naumovozyma","94","43","21","14","85","104","0"
"Tetrapisispora","73","37","22","15","63","87","17"
"Kazachstania","69","25","31","21","52","46","15"
"Lachancea","64","46","26","30","111","50","17"
"Zygotorulaspora","55","18","0","0","30","25","0"
"Torulaspora","50","24","21","0","77","34","0"
"Nakaseomyces","48","25","17","16","53","53","0"
"Zygosaccharomyces","28","11","0","0","43","32","0"
"Brettanomyces","101","31","30","24","78","70","13"
"Ogataea","95","42","25","15","98","55","17"
"Pichia","66","18","12","11","18","25","0"
"Candida","152","67","55","34","136","171","23"
"Scheffersomyces","30","13","0","0","27","26","0"
"Debaryomyces","19","0","0","0","17","12","0"
"Sugiyamaella","181","44","27","18","87","67","10"
"Yarrowia","144","68","48","37","147","97","29"
"Saccharomycodes","36","14","0","0","19","36","0"
"Komagataella","18","0","0","0","10","14","0"
"Schizosaccharomyces","74","33","17","10","53","39","0"
"Pseudozyma","1424","1034","672","372","2247","1133","359"
"Ustilago","479","334","182","161","594","291","110"
"Sporisorium","427","301","156","114","507","329","96"
"Malassezia","219","90","104","57","236","228","41"
"Phlebiopsis","445","288","192","119","687","392","102"
"Rhizoctonia","144","66","47","28","149","67","33"
"Marasmius","130","60","37","29","122","64","16"
"Cryptococcus","293","134","92","40","259","136","29"
"Encephalitozoon","47","13","0","13","22","26","0"
"Phytophthora","4066","2749","2185","1126","5596","3469","995"
"Pythium","463","270","160","140","540","283","133"
"Tyzzerella","0","11","0","0","22","0","0"
"Candidatus_Hepatoplasma","0","10","0","0","36","0","0"
"Candidatus_Azoamicus","0","0","0","0","19","14","0"
"Amedibacterium","0","0","0","0","34","38","0"
"Mariniplasma","0","0","0","0","12","0","0"
"Candidatus_Minimicrobia","0","0","0","0","78","76","0"
"Cetobacterium","0","0","0","0","15","15","0"
"Floricoccus","0","0","0","0","0","27","0"
"Poseidonibacter","0","0","0","0","0","33","0"
"Streptobacillus","0","0","0","0","0","15","0"
