"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Candidatus_Phycorickettsia","27","40","32","25","103","34","0"
"Candidatus_Midichloria","43","30","16","0","49","42","13"
"Candidatus_Fokinia","58","40","29","0","89","36","0"
"Candidatus_Deianiraea","24","14","12","0","38","11","0"
"Luteithermobacter","543","404","244","208","801","368","180"
"Paremcibacter","489","377","216","168","698","298","142"
"Micavibrio","798","39999","631","317","1081","488","191"
"Candidatus_Puniceispirillum","142","86","63","44","155","84","35"
"Candidatus_Hydrogenosomobacter","51","40","19","33","85","68","16"
"Candidatus_Cytomitobacter","91","29","31","12","51","29","15"
"Candidatus_Gromoviella","23","45","31","0","79","24","0"
"Candidatus_Nesciobacter","21","19","0","0","21","14","0"
"Candidatus_Paracaedibacter","98","74","56","33","130","69","17"
"Candidatus_Nucleicultrix","76","100","51","29","141","48","24"
"Magnetococcus","249","188","138","75","367","175","69"
"Candidatus_Pelagibacter","98","49","51","31","105","73","34"
"Candidatus_Fonsibacter","54","43","20","18","86","30","35"
"Kordiimonas","150","82","61","38","164","57","27"
"Massilia","852397","81100","47017","30843","110933","76779","27502"
"Duganella","19165","7400","4257","3037","11041","6806","2507"
"Janthinobacterium","22573","14840","8016","5381","20577","12649","4114"
"Herbaspirillum","20578","16178","8142","5962","21774","11745","4216"
"Collimonas","8035","6207","3409","2204","8524","4665","1661"
"Noviherbaspirillum","4887","5264","2452","1683","6093","4298","1335"
"Undibacterium","1045","916","452","265","935","659","179"
"Herminiimonas","440","466","229","132","361","259","102"
"Glaciimonas","419","280","192","117","458","241","84"
"Oxalobacter","357","256","124","80","257","184","47"
"Variovorax","211387","133942","60202","42876","151583","81451","31671"
"Acidovorax","142797","77063","33066","17592","62241","34445","12837"
"Hydrogenophaga","90818","103794","37489","22701","68879","39398","13767"
"Ramlibacter","53238","66473","21700","13851","38971","19751","9193"
"Comamonas","45285","35996","15309","9784","36881","19768","6932"
"Rhodoferax","32995","63812","17707","7362","25284","13982","5542"
"Schlegelella","24795","18293","9398","8628","28210","12966","4940"
"Diaphorobacter","32944","30551","13888","8319","28404","14721","5908"
"Delftia","27490","23546","11654","6956","24169","15111","4986"
"Polaromonas","14497","12748","5175","2922","10467","5551","2129"
"Kinneretia","17687","10177","6571","3897","15695","9252","3221"
"Ottowia","10020","9284","3886","2449","8602","4731","1847"
"Alicycliphilus","19733","17576","8028","5711","19212","9728","4120"
"Melaminivora","11987","10937","4661","3324","12155","5831","2337"
"Serpentinimonas","4928","5464","2337","1503","5573","2872","1029"
"Verminephrobacter","4155","3144","1428","915","3633","1869","644"
"Hylemonella","3988","5951","1889","954","3122","1692","617"
"Pulveribacter","5142","4046","1749","1142","3933","2188","830"
"Simplicispira","3396","2925","1203","748","2853","1480","507"
"Limnohabitans","1924","2234","897","398","1252","754","279"
"Curvibacter","1224","1333","486","292","974","537","154"
"Candidatus_Symbiobacter","813","732","351","284","1084","463","197"
"Burkholderia","198409","192838","131832","75525","281059","190342","74836"
"Cupriavidus","116918","154105","59880","40736","157575","99861","31382"
"Paraburkholderia","85768","63759","38062","28417","105792","57834","48660"
"Ralstonia","62096","29045","16503","18702","47697","24708","9172"
"Pandoraea","25606","21596","12153","9419","33872","18219","6809"
"Caballeronia","23346","19856","10610","8198","30092","16936","7941"
"Lautropia","3103","2098","1230","990","3495","1560","558"
"Polynucleobacter","2513","10299","5118","701","2572","1493","477"
"Chitinimonas","1598","1603","737","564","2109","1156","359"
"Mycetohabitans","1386","1178","815","561","1934","963","395"
"Mycoavidus","466","309","180","137","489","250","76"
"Limnobacter","308","553","252","89","278","157","65"
"Candidatus_Vallotia","241","185","115","83","298","176","62"
"Ephemeroptericola","195","119","72","48","165","88","36"
"Rhizobacter","64562","19116","9249","6608","24692","15609","5142"
"Sphaerotilus","18819","14344","6757","5134","20493","11292","4321"
"Methylibium","16211","12401","5129","3795","13926","8451","3530"
"Aquincola","15537","9236","3982","2801","11250","7147","2545"
"Rubrivivax","15115","10341","4825","3702","14058","8661","2907"
"Leptothrix","10396","7411","3377","2497","9770","5632","1783"
"Mitsuaria","8607","5368","3118","2152","8659","4972","2224"
"Thiomonas","7834","7761","3531","3157","10332","4864","1703"
"Xylophilus","6322","4889","2522","1881","7012","3471","1376"
"Aquabacterium","5871","3215","1598","1360","4533","2477","880"
"Ideonella","6958","4972","2424","1750","6653","4541","1398"
"Roseateles","4201","2516","1336","951","3817","2321","827"
"Tepidimonas","4513","5040","2300","1732","6633","3261","1119"
"Inhella","2705","2004","974","664","2758","1592","535"
