"","SRR5829603","SRR5829609"
"437897",868,316
"996801",868,431
"2846436",504,866
"268748",480,864
"101571",505,862
"82367",599,862
"1548",861,212
"2857064",516,861
"2981136",185,861
"2662065",515,854
"2058137",851,239
"1063",844,848
"2572090",847,727
"2201356",565,844
"3047874",587,844
"2493639",843,271
"335406",379,843
"1855336",842,652
"138",841,366
"155085",841,234
"200252",522,841
"615",841,603
"81947",840,773
"1144307",283,836
"3070999",836,239
"155322",834,402
"986",832,473
"173366",830,572
"2654982",463,830
"2950605",139,830
"1354",829,427
"2896849",572,829
"2259340",571,828
"3070997",828,326
"1287055",827,234
"2590772",609,827
"2672570",827,319
"294",644,827
"1080068",294,826
"157",826,297
"700220",826,191
"2983246",266,825
"899",211,825
"171",824,452
"331696",415,824
"40216",824,180
"1226968",516,823
"1573720",540,823
"1293",797,822
"2493675",249,822
"2681549",518,822
"528244",474,822
"28141",487,821
"3064531",571,821
"826",819,228
"2208",818,479
"28453",818,511
"2126346",356,817
"651561",816,332
"56455",557,813
"1404888",613,812
"1522",425,812
"373994",812,553
"613",617,810
"1112",614,809
"558152",809,352
"2493674",808,654
"322019",808,455
"913",521,808
"1871086",607,807
"2202249",481,807
"3003601",807,317
"1507512",804,246
"42443",65,804
"1843368",505,802
"86106",504,802
"182773",801,283
"1853130",502,801
"76857",801,219
"104268",754,800
"173",799,228
"2054919",692,799
"300028",483,799
"133",451,798
"196",798,306
"2493670",263,797
"2724150",797,505
"44008",797,233
"702115",404,796
"201",795,330
"2724191",177,795
"818",795,560
"2830995",505,794
"3019934",719,794
"940",533,794
"193",607,792
"1774273",790,309
"554880",406,789
"1173586",48,787
"2587847",584,787
"2880219",678,787
"1519",786,194
"2809031",786,259
"1408",785,621
"74109",785,470
"84378",784,228
"1325102",783,119
"2714925",394,782
"553611",782,354
"689",782,209
"2845819",738,781
"42858",781,241
"2855841",780,176
"2916754",780,273
"1406",779,722
"1855823",779,330
"1278232",775,415
"153151",347,774
"1250205",439,773
"65741",189,772
"373891",770,380
"1486034",769,239
"106590",760,768
"1423",767,638
"280",767,706
"29388",766,239
"817",766,738
"31988",227,765
"40137",485,765
"84377",765,238
"2023057",764,280
"584609",764,363
"1979344",763,363
"33923",763,248
"3039154",450,762
"1018",398,761
"158836",761,714
"2770780",759,621
"362837",759,210
"1030157",497,757
"1578",756,484
"2714110",599,755
"2806348",412,754
"84406",754,383
"936456",286,753
"135487",706,751
"2478552",750,277
"2997336",750,578
"1488",748,355
"2594795",555,748
"1493",747,271
"332101",744,620
"1498",742,292
"2615214",510,742
"2740529",472,741
"2818493",724,741
"2086471",717,738
"2098",738,219
"36835",738,419
"92645",576,738
"1494",736,236
"34062",579,735
"1028989",326,734
"228899",734,455
"2594004",733,297
"217203",732,700
"754397",732,282
"92647",345,732
"2605747",357,730
"263913",481,729
"2528642",433,728
"2909249",430,728
"308354",728,341
"1179777",727,349
"1885",256,727
"1117707",726,354
"28100",526,726
"2582831",310,724
"1006576",722,617
"96345",722,378
"2603206",446,721
"2905121",385,721
"2161747",658,720
"2854170",491,719
"158",718,566
"28182",718,293
"2785025",717,429
"492670",717,609
"1564138",716,210
"1915309",716,299
"195",716,228
"2996794",716,271
"521",350,716
"55197",716,302
"1278212",715,282
"244734",714,286
"1936081",713,273
"2584122",713,400
"2750995",544,713
"28031",713,569
"2944250",124,713
"28188",712,439
"206",711,261
"2187",711,139
"1891094",653,710
"3049774",428,709
"1529",708,213
"47770",708,510
"68270",508,708
"2020716",389,707
"64104",707,302
"2875764",706,239
"507",705,512
"519472",278,705
"56",705,616
"913109",705,441
"2594042",703,308
"658446",429,703
"1465",702,409
"308865",702,375
"632569",348,702
"784",701,369
"121428",700,323
"3017325",384,700
"405559",569,700
"354349",61,699
"35787",132,699
"2082188",185,698
"2806551",698,332
"652764",380,698
"85413",500,698
"858422",420,698
"2282523",670,696
"2594003",426,696
"2782006",387,696
"1462615",694,292
"1639",694,407
"1385663",123,692
"431306",412,692
"29378",691,320
"326320",691,643
"1115758",690,577
"1771",153,690
"2872157",431,690
"1850374",504,689
"3034358",489,689
"75985",547,688
"1054034",687,283
"2003315",212,687
"2986823",687,202
"1888915",685,273
"2483110",685,302
"1463165",511,684
"157691",683,98
"186650",409,683
"2657486",683,566
"2907623",683,222
"1848900",431,682
"33882",477,682
"221822",478,680
"2699836",680,123
"1930532",454,679
"718",679,520
"1080223",678,284
"47466",677,237
"82985",677,190
"2301",676,211
"312539",676,166
"907046",547,676
"2885079",351,675
"754423",673,352
"1263979",672,178
"216946",672,137
"64895",672,266
"162426",508,671
"187304",489,671
"1336804",670,240
"247",670,203
"718217",670,262
"122277",669,453
"252967",668,173
"547987",668,111
"59739",660,668
"657387",668,438
"28087",666,254
"29507",666,158
"1862145",665,645
"197162",665,244
"220927",428,665
"1476901",206,664
"28056",561,664
"2304606",663,166
"2567941",663,236
"2739062",663,285
"2321114",662,246
"76947",413,662
"1259844",394,661
"126385",661,209
"2139",661,102
"569860",544,661
"2350",389,660
"3047871",660,349
"1660079",659,192
"1798223",159,659
"279113",659,475
"714",584,659
"2729423",117,657
"1416779",656,371
"1002672",655,329
"1421",655,259
"2079234",186,655
"1238",654,362
"137583",361,654
"2713414",654,162
"93221",426,654
"2914159",576,653
"1737490",652,203
"641491",105,652
"2892442",651,640
"343874",651,291
"588932",517,651
"1685010",650,449
"676",405,649
"2714924",506,648
"2961520",648,294
"3003260",648,324
"214473",647,271
"571177",472,646
"1500960",644,629
"519450",644,238
"278153",643,215
"2930219",642,235
"1890302",641,489
"940133",371,640
"2686365",543,639
"2925845",601,639
"463014",432,639
"538381",484,639
"2494373",637,292
"34002",452,637
"1218801",636,428
"1969806",438,636
"1325115",234,635
"1695218",635,102
"2065379",579,635
"2711156",234,635
"1041504",634,233
"1906741",460,634
"97138",633,388
"1229727",632,149
"39643",531,632
"1315974",350,631
"1690815",321,631
"2143",631,142
