"","SRR17408286"
"3028316",1819
"547188",1819
"948107",1819
"33899",1814
"2838237",1813
"39687",1812
"2662065",1810
"284035",1810
"2607753",1808
"344163",1808
"2775403",1807
"904291",1806
"1788",1803
"1763524",1800
"3016089",1796
"2849093",1793
"1795631",1791
"1549858",1789
"28450",1789
"242606",1788
"2493676",1788
"2654248",1788
"2054",1786
"1817965",1785
"3031330",1783
"110937",1781
"1812480",1780
"879274",1780
"1906274",1779
"2781962",1778
"3002640",1776
"2511995",1774
"2219043",1773
"311230",1772
"1871086",1771
"2944250",1771
"446860",1771
"2992573",1770
"3064139",1768
"2493669",1767
"2880934",1764
"1073531",1763
"2995141",1763
"182639",1760
"376175",1759
"2942996",1758
"1534348",1757
"2575923",1756
"2938948",1756
"2903960",1755
"2419774",1754
"2929802",1749
"2975441",1749
"3016419",1749
"2748098",1747
"40990",1747
"1838286",1742
"1389020",1741
"2493672",1741
"93217",1739
"83677",1737
"374606",1736
"80867",1736
"99653",1736
"2507582",1735
"2995166",1734
"2589974",1733
"84531",1733
"2000",1732
"864828",1732
"3033808",1730
"156977",1729
"2714931",1729
"1575",1727
"2865838",1727
"2898276",1727
"2233999",1725
"2974023",1725
"105219",1720
"1652028",1720
"1926494",1720
"2596916",1717
"3050069",1716
"1881061",1715
"2742602",1714
"2927875",1714
"126673",1713
"234612",1713
"2716225",1713
"1701758",1712
"375549",1712
"2582831",1711
"1332264",1709
"652764",1707
"3041435",1706
"661481",1704
"1071679",1702
"3039156",1697
"2596913",1696
"68249",1696
"684552",1694
"1166950",1692
"148447",1692
"1136941",1691
"1297742",1686
"1774",1685
"2651974",1685
"2219696",1684
"2019",1679
"627192",1679
"2493680",1676
"1353891",1674
"2698679",1673
"1004901",1669
"1085",1666
"2758041",1666
"3049070",1666
"1813871",1665
"2810513",1665
"2963431",1665
"208439",1663
"2861282",1662
"3068634",1661
"1648182",1660
"1852",1660
"2589080",1660
"1829",1659
"570",1659
"1697043",1658
"281472",1658
"512402",1657
"2999062",1648
"186650",1645
"1748",1644
"396",1644
"2681552",1641
"3015163",1641
"418699",1641
"28209",1640
"66374",1640
"2029849",1639
"2966192",1639
"93064",1637
"2005884",1636
"2039870",1633
"2839983",1630
"1259258",1628
"2654282",1628
"2593973",1627
"479978",1627
"2909588",1626
"34",1625
"1061",1618
"1285901",1615
"3039801",1615
"1268041",1614
"293",1611
"76259",1607
"83455",1607
"2203210",1606
"2609253",1606
"2780091",1606
"2614638",1605
"2770551",1605
"2509614",1604
"2878153",1603
"56689",1603
"709810",1603
