"","SRR14320323","SRR14320322","SRR14320321"
"2045452",4434,5365,3708
"2613773",4065,5364,2885
"2771436",5335,4461,3155
"83461",3473,5328,2595
"945844",5324,2622,2074
"2820808",5316,5185,3232
"2676077",2407,3252,5290
"2802641",4343,5283,2641
"83453",3467,5278,2782
"2981138",4343,5277,2677
"1609977",3715,4690,5275
"198107",5272,4196,1897
"69277",5264,5063,3712
"482564",452,2127,5250
"1855331",1753,2074,5232
"2982531",3610,3346,5232
"2034",4735,5221,3130
"323415",4650,5215,3003
"2714945",5213,4300,3065
"649831",4312,5184,2842
"434014",5172,4831,4068
"450378",3992,4692,5167
"517",5016,5159,3304
"1076124",4702,5154,3086
"3040509",3944,5154,2834
"613",4088,5143,2797
"2060312",3709,4555,5141
"1993",4795,5139,3012
"2651974",5063,5138,3195
"940133",3777,5137,3985
"1871048",4105,5126,3907
"2778070",4258,5123,2395
"2006110",5110,4479,3887
"28214",3985,4901,5098
"1849032",5089,3594,1932
"91347",5075,5046,4076
"2851567",4429,5069,2721
"1842537",5068,3985,2202
"2598579",4724,5060,3259
"161493",5058,5020,2347
"2508168",5041,4497,3239
"1245526",5038,1752,1054
"135487",5016,4844,3548
"192812",3822,4667,5013
"283",4382,5011,3548
"434010",4999,3654,2096
"1483604",3991,4993,2473
"2662361",4285,4992,3442
"2785056",3640,4927,4979
"2565782",4967,4409,3148
"2714942",3613,4957,4057
"675281",4710,4957,3428
"2830667",2436,3300,4954
"323620",2412,4942,2567
"281362",4941,3941,3588
"234",4934,3541,4301
"1274631",4068,4922,3943
"2587808",4644,4913,4892
"59779",4907,2005,4353
"1641402",4287,4903,2313
"2498704",4392,4898,3353
"2884264",4423,4895,3308
"2711231",3595,4877,3678
"2742128",4429,4858,2598
"2973977",4781,4856,3486
"1867",3633,4853,2647
"87883",4655,4848,2808
"2005884",4845,4414,2153
"370526",3557,4171,4845
"457921",3929,4843,4771
"122358",3771,4838,2807
"164608",2812,3332,4838
"2762896",1681,2116,4807
"29447",3143,4790,4069
"1742993",4777,3946,2411
"400770",3608,4762,3229
"794846",4753,4568,1726
"2926709",3588,3677,4748
"1249101",3182,3764,4746
"1858653",4054,4746,3291
"85009",4229,4744,2790
"43357",3683,4740,2223
"75682",4231,4739,3030
"128780",4715,4599,3552
"2033",4211,4713,4097
"2591145",4702,4530,3874
"2509457",4686,4627,4012
"881260",4685,488,2928
"1592790",3583,3896,4672
"218821",3721,4669,2340
"2282397",3058,3698,4665
"1817",4636,4597,3268
"356837",4624,3981,1858
"2695266",4019,4623,3840
"447588",4618,3251,2315
"149698",4005,4615,3079
"1804986",3503,4593,2379
"2742131",3949,4582,2774
"2971235",2770,2726,4568
"1971",4265,4557,2742
"1473598",4200,4551,2003
"2010972",2874,2911,4533
"2969308",4532,4504,3383
"223967",4185,4389,4528
"331696",4325,4523,3515
"31989",4121,4519,2800
"2202148",4191,4506,2918
"520056",1553,1892,4495
"944492",3412,4489,2133
"2954771",3909,4487,3554
"2878388",4198,4483,2699
"2714943",3300,4481,3991
"3049772",3992,4481,3259
"1789672",4166,4480,3843
"184914",3256,4479,2442
"2653200",4423,4469,4198
"1892855",3716,4463,3836
"2001",4059,4460,2463
"758802",3922,4442,4459
"2708539",2935,3145,4456
"2603277",1977,2666,4450
"2303331",4446,4395,2814
"101571",4259,4433,2580
"2203204",4432,3401,2174
