"","SRR4140278","SRR4140277"
"1473598",1838,4309
"2736875",1904,4309
"1940610",2112,4306
"2908637",104,4304
"2760307",4297,1216
"3064278",1945,4296
"161492",1891,4294
"745310",2015,4288
"180957",4284,1999
"1325120",1844,4283
"2714844",4281,2358
"2801030",4279,2897
"2963105",203,4278
"1357916",1565,4272
"1387353",2121,4270
"83618",1972,4264
"298654",2922,4262
"2268449",2249,4261
"321985",3090,4260
"404405",1465,4255
"419475",539,4246
"2184053",4245,2638
"2715959",4237,3871
"53358",4231,3195
"1483604",2822,4211
"2756133",4210,3255
"83627",1747,4209
"37331",3297,4206
"2509614",1722,4205
"46429",1995,4190
"2994661",307,4177
"2571746",1424,4176
"2880218",4167,2826
"2315862",1171,4166
"2663857",4164,3182
"50338",4162,3679
"28214",1952,4159
"3047873",151,4156
"467976",2117,4146
"2599595",398,4145
"2843216",2851,4142
"2731681",278,4138
"280145",191,4133
"1404864",1663,4132
"1325115",4126,3843
"1798224",2992,4120
"504468",2420,4119
"1851514",3987,4118
"1327635",1926,4115
"2931983",4111,2701
"2880933",4106,2727
"335406",2077,4091
"173480",2257,4088
"78398",1415,4083
"356302",1733,4081
"2488560",1616,4078
"2203204",4077,2600
"419479",2830,4077
"2748080",386,4075
"2027911",1354,4069
"3019544",1486,4069
"2760705",4067,2922
"2806347",1593,4066
"1715720",1124,4055
"2866278",119,4055
"1842539",2220,4041
"76760",385,4041
"2054914",134,4037
"200618",4022,3080
"399176",1870,4020
"1219491",2511,4018
"296591",1423,4017
"2591108",2512,4015
"2653203",1786,4010
"756892",247,4008
"2015316",2394,4001
"2986947",409,4001
"75692",684,4001
"420952",3996,2489
"108981",206,3995
"104087",340,3988
"1325090",1940,3984
"860235",2956,3976
"1442032",3973,2085
"1325095",2053,3972
"2976822",3702,3972
"2795690",2027,3969
"2815360",3967,766
"2975049",221,3964
"715473",2873,3961
"2821559",38,3958
"658062",1011,3956
"3045175",3940,1504
"651561",63,3936
"2066049",3930,1216
"2778070",2630,3920
"2867409",91,3920
"2992573",1888,3909
"1593482",1418,3906
"348043",3906,1933
"120107",1970,3905
"1071679",3901,2854
"1971",3402,3900
"3003272",1106,3891
"2930198",467,3887
"1759059",479,3883
"1259973",3869,3880
"945844",3033,3876
"1636152",2011,3875
"556533",537,3863
"311231",3862,2555
"386490",3858,1138
"2918171",1916,3855
"2782168",2562,3852
"2872154",3842,2739
"758802",2646,3838
"1231",428,3836
"2650471",1018,3832
"864828",2561,3831
"3015152",2129,3829
"2741720",1551,3821
"324057",584,3820
"106648",57,3810
"2303331",1421,3800
"2049881",3799,2065
"370777",781,3797
"2721244",3793,2210
"2675225",1493,3780
"2710756",3775,2681
"103731",2505,3774
"2509457",1520,3774
"3032282",1913,3772
"125216",2534,3770
"2926710",1596,3755
"89966",1848,3755
"47865",1891,3752
"80880",1120,3748
"248903",1549,3745
"2545798",3744,2927
"68278",3740,2028
"338565",3192,3738
"2024580",1985,3737
"3052846",2907,3732
"2949090",1460,3727
"54911",267,3727
"2895476",106,3721
"95300",290,3717
"32",2161,3711
"61652",2804,3710
"2781735",2854,3705
"563835",1119,3704
"157920",3300,3701
"3064901",3699,1993
"555315",2240,3699
"114686",3698,1966
"2789216",3697,3579
"31",1800,3687
"2743470",1321,3686
"2880219",799,3683
"2675232",110,3680
"3025669",64,3675
"2074",2907,3674
"1592106",1542,3673
"2013",3110,3669
"2001",2297,3666
"204042",3653,3500
"1768242",852,3638
"2498848",217,3638
"2872652",1867,3635
