"","SRR4142418","SRR4141180"
"53360",3274,13602
"94",5422,13590
"1848900",5868,13572
"160791",4851,13556
"1616117",4764,13506
"2753607",3658,13484
"2811111",3941,13457
"204447",5007,13452
"2175864",4503,13411
"83291",4392,13401
"186650",3831,13348
"2914159",4200,13343
"3075432",6817,13306
"91347",13282,9862
"2942996",2408,13276
"48296",13265,10510
"67385",4075,13260
"2768162",3788,13235
"53462",3925,13180
"2728020",2323,13150
"1235591",9008,13091
"2732067",5403,13085
"1413221",13075,11006
"2082387",13074,11051
"1772",3759,13067
"3043848",3570,13052
"1835",3889,13041
"2071607",2722,13008
"488447",13006,6081
"33886",3361,13005
"1178540",12999,149
"560555",2479,12994
"2748863",12966,1310
"2018025",3551,12965
"2896848",4081,12927
"269660",3148,12903
"471",12708,12900
"2051553",3986,12899
"2305220",3241,12898
"3075199",3704,12885
"33914",3954,12885
"1325120",4821,12871
"964",1008,12850
"2991075",4208,12830
"2768069",4665,12819
"2732249",3154,12813
"2918170",4447,12762
"157920",3710,12753
"207745",4443,12737
"28068",3715,12720
"1896961",3760,12689
"410",3608,12661
"2745",4747,12607
"2591145",3506,12598
"380",5252,12571
"28447",3500,12544
"1077946",3078,12526
"3048891",12520,213
"2010972",3454,12503
"2938948",2776,12489
"28214",4553,12477
"1849967",6100,12472
"2903960",3474,12428
"434009",3773,12425
"2589074",3044,12412
"2894310",2251,12405
"450734",2942,12397
"340268",4993,12386
"135621",4841,12367
"1885",6317,12363
"1473598",4240,12342
"339268",2362,12341
"3016000",4065,12332
"335929",4058,12329
"1927",7132,12284
"946333",3671,12265
"2704468",3472,12239
"2567941",12232,1292
"564369",2133,12220
"1333996",5778,12192
"1452",12191,876
"1404864",3697,12132
"2736757",2870,12120
"2768066",4693,12106
"2294034",3566,12083
"2768161",3636,12079
"2603276",2804,12052
"904039",3029,12042
"993502",8490,12017
"356851",3662,11999
"141349",2296,11990
"2712222",9788,11984
"69666",4124,11984
"2775496",2307,11983
"52",4513,11977
"2499213",11973,583
"433",3139,11963
"2898442",2562,11930
"352858",11879,530
"1436133",3301,11876
"2684469",3745,11874
"2976824",3591,11872
"2981136",6237,11869
"3039154",3503,11852
"2714941",2813,11831
"630515",2658,11812
"2880933",4224,11796
"1609977",3788,11777
"28105",5698,11773
"83627",3601,11751
"2006",3069,11742
"2900152",3924,11700
"2771361",3365,11664
"1940610",4940,11609
"110319",2759,11550
"399176",3523,11548
"434008",3995,11527
"3016086",3544,11514
"2020",3519,11500
"2872652",3387,11493
"2898431",3428,11493
"3075627",3223,11480
"45398",4805,11479
"642",4302,11476
"69",10820,11443
"1542737",2286,11407
"265",5794,11407
"1573",2887,11389
"871742",2861,11368
"1325090",3413,11285
"87883",10680,11283
"116188",6517,11276
"89966",3147,11262
"151416",4328,11251
"3062449",4205,11241
"2592334",2570,11238
"2987751",2896,11230
"204441",4161,11215
"2653203",4660,11210
"212765",2976,11205
"3015161",3317,11204
"2681552",3255,11176
"1771",3496,11168
"1775910",3500,11164
"2686094",11162,6523
"1286180",3062,11117
"37329",3244,11103
"2892996",3942,11094
"2907545",5039,11084
"106592",4739,11076
"294",4980,11075
"42256",2577,11046
"2742137",3749,11024
"150026",2417,11013
"2602016",4646,10992
"1889",10991,8503
"2976823",4042,10970
"2724914",1957,10962
"53358",2344,10959
"1918010",10945,48
"2714951",10935,825
"319947",3970,10926
"2895565",2718,10915
