"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Mesorhizobium_sp._B4-1-4","4396","3033","2187","248","2403","2878","677","4501"
"Mesorhizobium_sp._B2-1-8","4264","2924","2100","251","2521","2848","644","4319"
"Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1","6160","3557","2631","317","20490","5320","816","5579"
"Mesorhizobium_sp._NBSH29","3405","2042","1275","133","1149","1598","493","2914"
"Mesorhizobium_sp._M7D.F.Ca.US.005.01.1.1","4169","3108","2113","258","2265","2567","591","4288"
"Mesorhizobium_sp._M8A.F.Ca.ET.057.01.1.1","4094","2865","2012","211","2208","2474","590","4304"
"Mesorhizobium_sp._M7A.F.Ce.TU.012.03.2.1","3600","2532","1697","172","1872","2225","494","3749"
"Mesorhizobium_sp._NZP2077","3467","2418","1781","184","1973","2375","502","3820"
"Mesorhizobium_sp._113-3-3","3853","2784","1998","216","2235","2390","595","4031"
"Mesorhizobium_sp._113-1-2","3352","2374","1812","178","2100","2181","519","3750"
"Mesorhizobium_sp._L-8-10","10229","7893","6340","593","3347","6969","1708","11497"
"Mesorhizobium_sp._L-8-3","10042","7892","6116","577","3282","6505","1683","11380"
"Mesorhizobium_sp._M2A.F.Ca.ET.046.03.2.1","6949","4116","2867","333","13548","5421","960","6334"
"Mesorhizobium_sp._113-3-9","3144","2452","1590","167","1849","2071","495","3338"
"Mesorhizobium_sp._NZP2298","2745","2135","1621","135","1685","2058","451","2965"
"Mesorhizobium_sp._AA22","2601","2154","1820","160","1427","2041","505","3541"
"Mesorhizobium_sp._M2A.F.Ca.ET.043.02.1.1","5923","3671","2790","345","12464","4995","810","5712"
"Mesorhizobium_sp._WSM1497","1785","1215","968","92","1063","1195","266","2049"
"Mesorhizobium_sp._131-3-5","1109","901","711","86","755","806","160","1357"
"Mesorhizobium_sp._NZP2234","967","807","555","50","670","860","161","1082"
"Mesorhizobium_sp._131-2-5","1100","1178","1023","0","963","1112","283","2191"
"Mesorhizobium_terrae","7968","5470","3767","431","4019","5074","1106","8044"
"Mesorhizobium_opportunistum","6146","4640","3516","359","4032","4395","1002","7057"
"Mesorhizobium_amorphae","4728","4064","2717","260","2838","3289","819","5880"
"Mesorhizobium_loti","23371","19510","13724","1547","15778","17334","4209","28576"
"Mesorhizobium_australicum","3169","2461","1830","181","1964","2300","543","3615"
"Mesorhizobium_ciceri","7769","7243","5720","560","5194","6917","1668","11682"
"Mesorhizobium_erdmanii","2845","2362","1666","159","1797","2058","497","3237"
"Mesorhizobium_huakuii","3377","2885","2279","225","2411","2885","568","4470"
"Mesorhizobium_japonicum","3127","2775","1977","196","2088","2390","528","3859"
"Aminobacter_sp._MSH1","9052","6858","4738","505","4100","5667","1487","10209"
"Aminobacter_sp._SR38","4785","33046","3171","329","3188","4038","1011","7278"
"Aminobacter_sp._MDW-2","5243","6228","2421","236","2005","2569","622","4883"
"Aminobacter_aminovorans","2636","5046","1684","165","1745","2172","566","3639"
"Aquibium_microcysteis","9453","8273","7004","708","6513","8541","1905","12886"
"Aquibium_oceanicum","7071","5983","5258","519","4721","6113","1444","9766"
"Nitratireductor_sp._SY7","5647","5187","4199","421","3906","4990","1182","8224"
"Nitratireductor_sp._OM-1","2724","2485","2059","164","1974","2291","520","3690"
"Nitratireductor_kimnyeongensis","1675","1545","1169","124","1250","1394","293","2271"
"Phyllobacterium_sp._T1018","1726","1728","1291","118","1448","1535","324","2501"
"Phyllobacterium_sp._628","951","905","632","71","736","802","168","1170"
"Phyllobacterium_sp._T1293","856","738","523","72","653","715","145","1084"
"Phyllobacterium_zundukense","1592","1888","1332","128","1344","1607","358","2450"
"Roseitalea_porphyridii","3101","3416","3177","294","3205","3723","812","5328"
"Hoeflea_sp._IMCC20628","1438","1561","1175","93","1317","1358","331","2145"
"Hoeflea_phototrophica","1248","1453","1140","116","1200","1315","298","2046"
"Oricola_thermophila","2437","2540","2274","225","2294","2603","530","3983"
"Salaquimonas_pukyongi","905","985","845","88","874","1003","203","1534"
"Lentilitoribacter_sp._Alg239-R112","58","63","42","0","72","83","10","78"
"Methylobacterium_nodulans","7329","8483","9154","693","10848","8999","2213","13387"
"Methylobacterium_sp._17Sr1-1","3820","4685","5011","374","5317","5189","1091","7207"
"Methylobacterium_sp._WL1","3036","3545","3702","308","4119","3886","795","5464"
"Methylobacterium_sp._C1","2552","2697","3842","399","4568","4568","778","4922"
"Methylobacterium_sp._XJLW","2235","3221","2595","136","3219","3042","633","5014"
"Methylobacterium_aquaticum","7617","9090","9926","703","10479","10103","2233","14237"
"Methylobacterium_durans","5439","5556","5824","487","6183","5879","1396","8708"
"Methylobacterium_radiodurans","4644","5333","5448","501","6152","6007","1312","8112"
"Methylobacterium_currus","4933","5885","6023","530","6895","6374","1433","8964"
"Methylobacterium_organophilum","4857","5570","5902","446","6082","5913","1456","8287"
"Methylobacterium_terrae","3968","4694","5195","365","5469","5345","1155","7570"
"Methylobacterium_brachiatum","3612","4107","4355","387","4542","4346","978","6451"
"Methylobacterium_tardum","3508","4097","4066","364","4605","4363","906","6193"
"Methylobacterium_mesophilicum","3128","3491","3726","292","4271","3910","828","5463"
"Methylobacterium_indicum","3603","4225","4467","364","4758","4496","996","6537"
"Methylobacterium_oryzae","5447","6283","5895","826","6819","10831","1486","9117"
"Methylobacterium_radiotolerans","5897","6775","9713","1011","9454","12468","1574","10914"
"Methylobacterium_phyllosphaerae","1684","1985","2009","180","2249","1879","453","2867"
"Microvirga_sp._VF16","28858","28230","40143","1618","18218","16867","6721","31927"
"Microvirga_sp._17_mud_1-3","8274","6975","9633","539","6934","5946","2004","9968"
"Microvirga_ossetica","24123","34845","30890","1468","16384","15485","7778","33936"
"Microvirga_thermotolerans","9113","8592","12338","739","9296","8374","2509","12987"
"Methylorubrum_populi","6730","7995","9752","678","9352","9913","1836","12167"
"Methylorubrum_extorquens","10122","12073","11641","1009","12539","13225","2532","17665"
"Methylorubrum_sp._B1-46","2504","3086","2980","312","3633","3148","689","4313"
"Methylorubrum_zatmanii","770","933","843","0","918","1022","196","1214"
"Brucella_intermedia","65579","1107","1816","317","1463","1952","247","1516"
"Brucella_anthropi","61241","8609","9113","342","1627","9659","434","2606"
"[Ochrobactrum]_quorumnocens","13804","498","373","32","467","458","143","872"
"Brucella_pseudogrignonensis","15236","340","288","81","432","333","144","572"
"Brucella_sp._BTU1","3191","177","153","61","195","171","78","306"
"Brucella_sp._09RB8910","350","150","92","0","130","104","61","170"
"Brucella_sp._6810","352","146","109","0","149","88","105","210"
"Brucella_sp._10RB9215","191","127","104","0","152","104","65","183"
"Brucella_sp._2280","240","58","104","0","156","135","0","105"
"Brucella_sp._BO3","203","91","100","0","86","64","0","192"
"Brucella_sp._BO2","208","96","73","0","85","80","0","125"
"Brucella_sp._458","165","91","81","0","74","70","0","107"
"Brucella_sp._09RB8471","112","109","64","0","79","118","90","178"
"Brucella_pituitosa","4881","157","130","0","176","134","63","206"
"Brucella_inopinata","153","64","63","0","55","60","0","91"
"Brucella_melitensis","826","1381","1114","0","1069","839","0","2264"
"Brucella_suis","13184","3567","1063","0","934","732","0","1302"
"Brucella_abortus","2134","2599","0","0","667","3568","0","976"
"Brucella_ovis","44","28","0","0","0","41","0","0"
"Pseudochrobactrum_sp._XF203","976","231","146","0","198","219","33","279"
"Pseudochrobactrum_sp._Wa41.01b-1","892","208","169","0","178","209","46","321"
"Pseudochrobactrum_algeriensis","826","199","147","32","205","215","63","338"
"Pseudolabrys_sp._FHR47","22001","16958","9132","1114","15376","14173","3568","26069"
"Pseudolabrys_taiwanensis","17095","20756","11352","1108","23781","15696","4108","28302"
"Starkeya_sp._ORNL1","6273","8066","6985","607","9299","8582","1557","11322"
"Starkeya_novella","6142","8362","7545","858","9714","13024","1629","10627"
"Xanthobacter_dioxanivorans","5634","7158","6554","579","7665","7416","1430","10424"
"Xanthobacter_sp._YC-JY1","2931","3577","3239","316","3884","3751","783","5370"
"Xanthobacter_autotrophicus","2704","3459","3059","258","3785","3633","682","4968"
"Ancylobacter_polymorphus","4623","5797","4592","457","5755","5849","1118","8095"
"Ancylobacter_sp._TS-1","4195","5417","4656","431","5487","5827","1093","7741"
"Ancylobacter_pratisalsi","3219","3837","3328","293","3709","3831","727","5414"
"Labrys_sp._KNU-23","4015","4643","4232","463","8299","7423","895","6596"
"Azorhizobium_caulinodans","3751","4674","4056","346","4924","4689","932","6563"
"Devosia_sp._A16","26608","17896","7843","745","8038","12066","5861","13836"
"Devosia_sp._JXJ_CY_41","4461","3253","2554","164","2201","2771","1082","4257"
"Devosia_sp._SL43","4368","3490","2437","173","2115","2601","1063","4091"
"Devosia_sp._1566","2985","2409","2082","185","2063","2193","712","3223"
"Devosia_sp._I507","2865","2321","1963","154","1683","2132","715","3154"
"Devosia_sp._MC521","1129","946","730","56","757","925","265","1298"
"Devosia_ginsengisoli","5622","3831","3175","194","2397","3130","1390","5643"
"Devosia_oryziradicis","5358","4197","2702","183","2216","2732","1342","4243"
"Devosia_beringensis","3794","3037","2368","218","2271","2674","920","3840"
"Devosia_salina","4453","3347","2932","219","2540","3129","1124","4456"
"Devosia_rhizoryzae","2943","2837","1839","154","1841","2311","726","3046"
"Youhaiella_tibetensis","5242","4051","3505","273","3488","4068","1071","5710"
"Paradevosia_shaoguanensis","5471","4563","3665","320","3808","4539","1244","6174"
"Pelagibacterium_halotolerans","1761","1816","1487","136","1508","1673","496","2686"
"Maritalea_myrionectae","340","303","255","21","325","309","78","445"
"Rhodoplanes_sp._Z2-YC6860","36217","48421","19316","2771","74495","36699","8013","63424"
"Hyphomicrobium_denitrificans","5761","8508","4602","552","8211","7346","1222","9318"
"Hyphomicrobium_nitrativorans","4952","8772","3722","369","3588","4431","1232","8369"
"Hyphomicrobium_sp._MC1","2533","3903","2740","326","3732","6964","598","4459"
"Methyloceanibacter_sp._wino2","1991","3989","2585","292","2557","2945","833","4854"
