"","degrees","closeness","betweenness"
"1917441",768,1.22119506148717e-05,6475.09660872461
"83554",744,1.20790452722617e-05,7374.16599632971
"2185111",877,1.24470998257406e-05,7464.85563973108
"2748319",848,1.18045636443049e-05,5544.85809067786
"2500533",701,1.22786768497827e-05,8461.91997218246
"2875962",887,1.21019956190776e-05,2997.73579439494
"1756149",649,1.24503542125773e-05,5596.79739334708
"471",852,1.17564072419469e-05,7800.91407433473
"2781961",988,1.23362364609805e-05,9540.86773196238
"97084",1194,1.20322464204067e-05,9327.03099456378
"1891280",1201,1.20704431059664e-05,7522.66341712216
"2715679",1212,1.22452978056426e-05,5561.26225809865
"1967665",1274,1.22912031858799e-05,8169.85394992414
"71237",692,1.17383291662265e-05,9220.81708808876
"2322",1257,1.21695954826462e-05,7957.21321398022
"242600",1238,1.21450606038524e-05,6890.38315537475
"2735436",1264,1.20946771325939e-05,9560.8367855896
"28038",1081,1.18587387045514e-05,5289.3731153995
"29553",1308,1.22774708410068e-05,9570.71879999511
"1032242",1119,1.20110020779034e-05,6783.57771167823
"167642",1198,1.20487734348643e-05,8762.62253437494
"708186",1153,1.20384749659913e-05,8694.97057165044
"114186",1279,1.23271122506842e-05,9299.59264484595
"1308",1047,1.19176727168718e-05,9578.57951747895
"167",1241,1.22598599923989e-05,7350.86037595898
"2579250",1293,1.23098133832291e-05,7568.95085566908
"1355374",1102,1.18369810963412e-05,8290.44156588429
"216938",1285,1.22479974524165e-05,9282.01201243369
"247523",1094,1.21220937280287e-05,6206.2171139795
"53558",1093,1.18480604725007e-05,7676.54021194724
"75658",1232,1.22355589815121e-05,7494.18922934868
"76517",1280,1.22337627384055e-05,7870.33341937878
"2118",1209,1.2260160608104e-05,4622.27777981859
"213",1201,1.20809423135005e-05,7126.80609973264
"2138",1178,1.21008240661189e-05,9148.19552835909
"294671",1119,1.19203719156038e-05,7738.16678828509
"40091",1161,1.19787736131575e-05,9437.50670815636
"544718",1206,1.20940920360404e-05,7395.39342702813
"142650",1220,1.2193337560357e-05,5525.20255643423
"3058393",1087,1.26692934335052e-05,9465.34034351398
"392416",1212,1.21472735444529e-05,7534.06617596526
"1514105",942,1.2597949053894e-05,3874.20165242219
"214888",1253,1.21672263590792e-05,8888.03839505727
"2149",1297,1.22445481149518e-05,8772.46816824293
"260714",1175,1.20347080981551e-05,7904.20569730274
"2810348",1191,1.22089687084132e-05,4328.39546617598
"2908650",1189,1.21727063578045e-05,5583.70834483068
"29520",1238,1.22625660645747e-05,7584.97924968039
"315393",1130,1.20637448276694e-05,4480.69309762252
"224719",1253,1.220911776915e-05,8023.08359533912
"2286",1157,1.20682580676305e-05,7696.58798707927
"29556",1038,1.19300422323495e-05,5332.85319233115
"671211",1184,1.22373557521691e-05,3361.51524598542
"1255",1218,1.21055116394494e-05,9550.1615903011
"216934",1251,1.21684108055488e-05,7344.05078940389
"216942",1158,1.215953307393e-05,4126.62970987942
"2352",1281,1.21872448295614e-05,8381.62066851616
"246432",876,1.17642906720939e-05,8300.6611483427
"2916816",850,1.23725626051668e-05,8296.64222787585
"80850",786,1.27001866927444e-05,7582.26329768593
"1987921",1249,1.21986923001854e-05,6300.69748338082
"1301915",1293,1.22364573008822e-05,9497.67037630799
"1529069",1372,1.24477195777734e-05,8925.73220769744
"2546128",1213,1.21570200712401e-05,8242.55014194401
"301953",1241,1.21503730164516e-05,8304.65854931973
"1311",1170,1.21169528287026e-05,4203.45686051312
"1235990",1251,1.21422587029639e-05,9533.42037230103
"143",1121,1.22074783012073e-05,3437.21075836311
"295596",1156,1.20146097654748e-05,8530.99282487781
"375929",1250,1.2175522329908e-05,8551.07506112584
"412034",1081,1.25075045027016e-05,9034.89176826688
"480520",1179,1.20393445780812e-05,8125.73831809849
"59",1255,1.23069349578487e-05,8771.08487679024
"2743000",654,1.26403074122763e-05,3932.78770024476
"336988",1148,1.22186652330099e-05,6605.2787721465
"219745",1174,1.21074170036564e-05,4227.9361200673
"488546",1313,1.21991387408049e-05,9042.48243493321
"3068341",704,1.17962086985243e-05,9592.32858931327
"202907",634,1.19073134719345e-05,9041.63771365215
"2919913",821,1.19381603294932e-05,5862.42480056786
"47",842,1.1676377520638e-05,6211.2139865715
"484429",872,1.19988961015587e-05,8418.3195717203
"2781022",642,1.16860655354555e-05,8922.81298605088
"3015158",903,1.21502253866809e-05,8101.27350841458
"1866325",621,1.22807879353539e-05,8325.71753272041
"164759",740,1.22872765251582e-05,8569.90612571318
"2884220",778,1.23504057108276e-05,9399.07047346961
"2008795",698,1.21424061392005e-05,9123.36868289701
"3029061",634,1.21552468122865e-05,7446.95376059112
"252514",648,1.22795815118621e-05,7687.59178772903
"463024",701,1.23051176984508e-05,8938.78149147784
"45401",614,1.21580547112462e-05,1975.3680884362
"2162713",657,1.24387392093937e-05,7530.48028586547
"2795779",653,1.24302353043543e-05,6806.92184239992
"458032",884,1.21664861971214e-05,8477.98054703381
"213422",647,1.22122488856323e-05,4792.07215512796
"1407",1061,1.19879640840596e-05,9440.01920642039
"3070660",1203,1.24517494708006e-05,7478.50121225695
"2562892",1112,1.19637259828201e-05,8137.58340358562
"1705566",1028,1.18777541542445e-05,9537.18661384939
"1402",695,1.24710049135759e-05,2269.06778127333
"314275",1067,1.20860526951898e-05,3545.23640680659
"1304",1000,1.19488588839766e-05,7175.55590904202
"2583851",1100,1.19931399239635e-05,8090.11739221846
"1796652",802,1.27173069830733e-05,9604.21627788837
"1882662",913,1.25084431991594e-05,4758.99440694579
"40215",1083,1.1877895236964e-05,6912.93760409914
"1354726",981,1.16907105613879e-05,9303.57529230834
"330922",663,1.17600018816003e-05,159.638056432715
"96241",1003,1.18444118065097e-05,5797.76447719983
"868131",1024,1.17416370190332e-05,5961.88907404517
"518738",998,1.20918984280532e-05,5302.41313823985
"97138",987,1.1684017432554e-05,5979.91450673792
"3072790",908,1.27494103397718e-05,9419.91904326338
"86665",1172,1.24574888194038e-05,5909.20250541997
