"Genus" "Species"
"2415" "Acidithiobacillus" "ferriphilus"
"2515" "Paenibacillus" "sp._HWE-109"
"2615" "Ruegeria" "sp._TM1040"
"2715" "Geobacillus" "subterraneus"
"2815" "Streptomyces" "sp._Tu6071"
"2915" "Hahella" "chejuensis"
"3015" "Streptomyces" "sp._CLI2509"
"3115" "Nitrosopumilus" "Candidatus_Nitrosopumilus_sediminis"
"3215" "Sulfitobacter" "indolifex"
"3315" "Nitrosopumilus" "zosterae"
"3415" "Salegentibacter" "salegens"
"3515" "Echinicola" "s"
"3615" "Nitrosomonas" "sp._sh817"
"3715" "Haloarcula" "taiwanensis"
"3815" "Desulfovibrio" "mangrovi"
"3914" "Pseudohongiella" "spirulinae"
"4014" "Paenibacillus" "sp._FSL_P4-0081"
"4114" "Thiocapsa" "s"
"4214" "Octadecabacter" "arcticus"
"4314" "Haladaptatus" "pallidirubidus"
"4414" "Streptomyces" "sp._F8"
"4514" "Campylobacter" "volucris"
"4614" "Vibrio" "fluvialis"
"4714" "Prevotella" "s"
"4814" "Galbibacter" "sp._BG1"
"4911" "Stomatobaculum" "sp._F0698"
"505" "Hyphomonas" "s"
"5110" "_" "s"
"525" "Marixanthomonas" "sp._SCSIO_43207"
"534" "Kingella" "denitrificans"
"544" "Thiobacillus" "s"
"554" "Phascolarctobacterium" "faecium"
"564" "Alkalihalophilus" "pseudofirmus"
"574" "Iodobacter" "fluviatilis"
"584" "Pandoravirus" "salinus"
"594" "Cruoricaptor" "ignavus"
"604" "Aneurinibacillus" "s"
"6110" "Loigolactobacillus" "coryniformis"
"624" "Wansuia" "hejianensis"
"634" "Oceanisphaera" "avium"
"644" "Corynebacterium" "sp._NML98-0116"
"654" "Paraglaciecola" "sp._T6c"
"664" "Vibrio" "alginolyticus"
"674" "Polynucleobacter" "sp._TUM22923"
"684" "Lelliottia" "steviae"
"694" "Sulfurimonas" "autotrophica"
"703" "Glaesserella" "sp._15-184"
"719" "Brucella" "suis"
"723" "Polynucleobacter" "sp._AP-Elch-400A-B2"
"733" "Burkholderia" "sp._B21-005"
"743" "Thermoanaerobacter" "kivui"
"1106" "Cellvibrio" "sp._PSBB006"
"2105" "Nitrosospira" "lacus"
"3105" "Baekduia" "s"
"4100" "Rhodococcus" "qingshengii"
"518" "Usitatibacter" "s"
"617" "Nitrososphaera" "viennensis"
"716" "Nitrososphaera" "Candidatus_Nitrososphaera_evergladensis"
"816" "Iamia" "s"
"916" "Rosistilla" "s"
"1016" "Tepidiforma" "s"
"1116" "Gordonia" "sp._L191"
"1215" "Microcella" "Chryseoglobus_sp._28M-23"
"1315" "Corynebacterium" "aurimucosum"
"1415" "_" "s"
"1515" "Streptomyces" "sp._M54"
"1615" "Gordonia" "hongkongensis"
"1715" "Methanothrix" "harundinacea"
"1815" "_" "s"
"1105" "Pseudomonas" "asiatica"
"2104" "Flavobacterium" "gelatinilyticum"
"3104" "Flavobacterium" "nitratireducens"
"499" "Flavobacterium" "fluviale"
"517" "Flavobacterium" "dauae"
"616" "Chryseobacterium" "sp._3008163"
"715" "Flavobacterium" "collinsii"
"815" "Chryseobacterium" "turcicum"
"915" "Chryseobacterium" "paludis"
"1015" "Rhizobium" "sp._BT-226"
"1115" "Phocaeicola" "dorei"
"1214" "Chryseobacterium" "balustinum"
"1314" "Flavobacterium" "sp._F-340"
"1414" "Chryseobacterium" "sp._MEBOG07"
"1514" "Methylophilus" "methylotrophus"
"1614" "Peribacillus" "asahii"
"1714" "Caballeronia" "sp._SBC2"
"1814" "Acinetobacter" "sp._TTH0-4"
"1914" "Neobacillus" "sp._WH10"
"2014" "Paenibacillus" "brasilensis"
"2114" "Chryseobacterium" "sp._G0162"
"2214" "Chryseobacterium" "taklimakanense"
"2314" "Pseudomonas" "sp._FP1740"
"2414" "Pseudomonas" "fitomaticsae"
"2514" "Flavobacterium" "litorale"
"2614" "Sphingobacterium" "sp._WM"
"2714" "Elizabethkingia" "meningoseptica"
"2814" "Buttiauxella" "agrestis"
"2914" "Stanieria" "sp._NIES-3757"
"3014" "Methylophaga" "nitratireducenticrescens"
"3114" "Pseudomonas" "sp._B21-017"
"3214" "Flaviflexus" "ciconiae"
"3314" "Echinicola" "s"
"3414" "Oceanihabitans" "sp._IOP_32"
"3514" "Parabacteroides" "goldsteinii"
"3614" "Parabacteroides" "s"
"3714" "Bradyrhizobium" "sp._CCGUVB23"
"3814" "Barnesiella" "viscericola"
"3913" "Synechococcus" "sp._PCC_7502"
"4013" "Cellulophaga" "sp._HaHaR_3_176"
"4113" "Opitutus" "s"
"4213" "Bacteroides" "nordii"
"4313" "Shewanella" "sp._MTB7"
"4413" "Halopseudomonas" "aestusnigri"
"4513" "Parabacteroides" "faecis"
"4613" "Bacteroides" "uniformis"
"4713" "Nonlabens" "s"
"4813" "Bradyrhizobium" "sp._155"
"4910" "Treponema" "denticola"
"504" "Bacteroides" "intestinalis"
"519" "Shewanella" "avicenniae"
"524" "Photorhabdus" "akhurstii"
"533" "Bdellovibrio" "sp._ZAP7"
"543" "Phocaeicola" "s"
"553" "Niabella" "s"
"563" "Prevotella" "fusca"
"573" "Legionella" "israelensis"
"583" "Leptospirillum" "ferriphilum"
"593" "Aminipila" "luticellarii"
"603" "_" "s"
"618" "Moraxella" "s"
"623" "Methylacidiphilum" "s"
"633" "Polynucleobacter" "sp._MWH-Svant-W18"
"643" "_" "s"
"653" "Polynucleobacter" "acidiphobus"
"663" "_" "s"
"673" "Halothiobacillus" "s"
"683" "Vibrio" "cortegadensis"
"693" "Vibrio" "bathopelagicus"
"1104" "Marinobacter" "sp._Arc7-DN-1"
"2103" "Spirosoma" "rigui"
"3103" "Erwinia" "persicina"
"497" "Chryseobacterium" "sp._MA9"
"515" "Hymenobacter" "baengnokdamensis"
"614" "Citrobacter" "portucalensis"
"714" "Duffyella" "gerundensis"
"814" "Mixta" "hanseatica"
"914" "Lichenihabitans" "s"
"1014" "Corynebacterium" "tuberculostearicum"
"1114" "Halomonas" "sp._1513"
"1213" "Acinetobacter" "sp._TTH0-4"
"1313" "Serratia" "entomophila"
"1413" "Paenibacillus" "macerans"
"1513" "Acidihalobacter" "ferrooxydans"
"1613" "Mucilaginibacter" "sp._KACC_22063"
"1713" "Brevirhabdus" "pacifica"
"1813" "Marinithermus" "hydrothermalis"
"1913" "Deinococcus" "aquaticus"
"2013" "Superficieibacter" "sp._HKU1"
"2113" "Bifidobacterium" "pseudolongum"
"2213" "Geomonas" "subterranea"
"2313" "Citrobacter" "tructae"
"2413" "Bifidobacterium" "scardovii"
"2513" "Rhodovulum" "sp._P5"
"2613" "Rhodovulum" "sp._MB263"
"2713" "Hoeflea" "phototrophica"
"2813" "Pseudodesulfovibrio" "mercurii"
"2913" "Chryseobacterium" "nakagawai"
"3013" "Chromobacterium" "sp._IIBBL_290-4"
"3113" "Salinicola" "endophyticus"
"3213" "Demequina" "sp._TMPB413"
"3313" "Azotobacter" "s"
"3413" "Mariluticola" "halotolerans"
"3513" "Paenibacillus" "konkukensis"
"3613" "Gimesia" "chilikensis"
"3713" "Hymenobacter" "qilianensis"
"3813" "Halopiger" "xanaduensis"
"3912" "Tropicibacter" "sp._YMD87"
"4012" "Phaeobacter" "gallaeciensis"
"4112" "Natronococcus" "sp._AD5"
"4212" "Cohnella" "candidum"
"4312" "Halobacterium" "litoreum"
"4412" "Rosistilla" "carotiformis"
"4512" "Gilvibacter" "sp._SZ-19"
"4612" "Neoasaia" "chiangmaiensis"
"4712" "Celeribacter" "ethanolicus"
"4812" "_" "s"
"498" "Halopseudomonas" "nanhaiensis"
"503" "Halorubrum" "sp._PV6"
"516" "Pontibacter" "sp._G13"
"523" "Alistipes" "onderdonkii"
"532" "Trueperella" "pecoris"
"542" "Desulfovibrio" "desulfuricans"
"552" "Arachidicoccus" "terrestris"
"562" "Brevibacillus" "marinus"
"572" "Halorubrum" "ruber"
"582" "Gimesia" "maris"
"592" "Meiothermus" "taiwanensis"
"602" "Methylacidimicrobium" "sp._B4"
"615" "Pseudosulfitobacter" "sp._DSM_107133"
"622" "Chryseobacterium" "manosquense"
"632" "Candidatus_Desulforudis" "audaxviator"
"642" "Novacetimonas" "hansenii"
"652" "Natronomonas" "halophila"
"662" "Haladaptatus" "halobius"
"672" "Pseudodesulfovibrio" "tunisiensis"
"682" "Octadecabacter" "sp._SW4"
"692" "Microbulbifer" "sp._YPW1"
"702" "Tumebacillus" "algifaecis"
"717" "Desulfuromonas" "sp._AOP6"
"722" "Bifidobacterium" "breve"
"732" "Syntrophotalea" "acetylenica"
"742" "Halomicrobium" "sp._LC1Hm"
"752" "Phreatobacter" "s"
"762" "Desulfomicrobium" "baculatum"
"772" "Tannerella" "serpentiformis"
"782" "Profundibacter" "amoris"
"792" "Chlorobaculum" "sp._MV4-Y"
"802" "Brenneria" "rubrifaciens"
