"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"2724914",16462,2592,2330,2364,2146,6014,2107,4681,1020,214,40,34,58,42,34
"40324",13162,11547,11631,10382,8386,16389,7717,11196,4930,2152,228,170,222,217,182
"164546",6465,14874,16372,15057,11069,9134,10769,6403,5177,1218,235,182,285,244,205
"2593973",1461,2270,1769,1757,1882,1785,1603,1397,16358,137,25,21,58,29,13
"2918170",2741,13454,16078,13385,11859,6283,13884,4739,5559,977,213,159,388,246,176
"82633",5079,14096,16001,14605,10822,8754,10018,6135,5177,1189,242,212,263,215,195
"406548",5788,14103,15682,15978,12282,9066,13461,7236,5272,963,239,190,361,293,223
"2562284",4788,12688,15181,15924,11920,12901,14833,12253,6828,877,1159,955,740,804,704
"522259",15857,1821,1960,2027,1435,10332,1410,6744,734,850,63,67,62,61,29
"2508882",2008,3004,2250,2376,2363,2250,2069,1731,15767,155,21,24,47,39,24
"1387353",15689,9575,10270,10726,8052,10128,9189,8105,3669,674,213,161,325,203,180
"204434",15615,3710,6144,4837,3301,10156,3576,9255,1767,660,121,113,168,132,170
"1849581",15599,1678,1794,1918,1163,10490,1154,6636,552,866,53,48,39,45,45
"2753607",2370,15387,15450,13372,10223,6438,9733,4397,4584,862,147,130,234,161,147
"1045317",6528,10209,15420,12285,8612,8057,7251,7109,3092,693,80,52,484,159,94
"504468",11508,7213,8051,7876,5993,15382,6223,11635,3021,1672,152,157,247,180,151
"370777",5211,15272,9794,9018,6944,13558,6474,8486,3517,1806,92,71,100,108,87
"1882682",2859,15262,11350,10512,12424,6602,15010,5606,4975,530,164,123,209,180,151
"35754",7280,15098,13041,12079,12643,9753,14472,8195,5657,3437,143,170,300,234,118
"237",1825,8708,15067,3955,4664,2114,2350,1319,2871,171,104,34,109,121,158
"2849501",11801,14050,11905,10718,15039,14036,13436,12103,4311,571,91,108,601,225,106
"196914",5441,10921,7514,8250,8465,6225,15032,5707,4520,892,88,85,169,100,58
"2774151",2033,14918,15000,13539,12560,8010,12721,6469,5595,769,415,321,405,422,269
"335929",5845,14996,12220,13386,10524,9966,7697,8137,5596,908,223,212,196,209,177
"1813",10280,14942,14473,14175,13027,13718,12886,10643,5881,1282,207,171,375,226,151
"1473598",3137,10421,14837,13550,9085,4810,9695,3537,4685,904,375,343,504,395,393
"1969806",7424,3231,3905,3834,2859,14801,2831,9791,1432,1606,111,88,109,100,89
"940614",14745,2819,4066,3468,2349,7737,2616,7056,1235,515,88,75,126,70,102
"3064139",3285,14238,10324,14730,9838,7993,7493,6541,5200,747,81,84,100,100,68
"2763008",6091,13080,7344,6472,14486,13965,8929,11730,3634,301,76,58,118,63,50
"2976241",6669,5958,6587,6982,4084,14456,4126,8986,2153,2080,126,140,102,101,109
"940133",8921,8891,14339,12607,7995,8180,6787,7465,2645,625,62,61,437,188,80
"106592",3242,14226,11108,10912,8323,6468,8623,5550,4827,687,252,204,271,233,199
"52",1569,11202,14147,11786,9574,4087,9125,3017,4879,757,274,252,322,306,216
"2017486",6554,12215,6350,5466,13812,14095,7292,11838,3069,254,69,59,99,47,43
"82115",4718,12080,14021,12631,9562,8081,10165,6470,5555,994,463,529,434,527,397
