"","SRR5829600"
"2082188",532
"554",532
"2576307",531
"2594042",531
"2725558",531
"3070997",531
"556287",531
"1942464",530
"220684",530
"2744027",530
"482462",530
"1499987",529
"1993",529
"399497",529
"419476",529
"535",528
"157687",526
"308354",526
"82541",526
"1041504",525
"1218801",525
"1380432",525
"217159",525
"37329",525
"871203",525
"1234",524
"2509455",524
"2735906",524
"2813371",524
"2764326",523
"1814",521
"182337",521
"1717717",519
"3035471",519
"777",519
"1548",518
"2732163",518
"284016",518
"38875",518
"1982626",517
"2686365",517
"2810516",517
"2991051",517
"1286698",516
"155085",516
"2961520",516
"43657",516
"61015",516
"1868589",515
"2072409",515
"39122",515
"631",515
"159",514
"38323",514
"224402",512
"258",512
"2686362",512
"2779775",512
"299767",512
"756892",512
"1299",511
"1335757",511
"3028622",511
"40545",511
"1278232",510
"1504",510
"2518371",510
"2736875",510
"603050",510
"106649",509
"1455",509
"153496",509
"182773",509
"3049047",509
"767452",509
"1904463",508
"1763",507
"44930",507
"1348613",506
"2528020",506
"2735795",506
"2906077",506
"1193713",505
"2546360",505
"2762322",505
"2768069",504
"2782655",504
"1155739",503
"2830990",503
"2711231",501
"2954096",501
"1571",500
"2763056",500
"165696",499
"129985",498
"1353136",498
"2897332",498
"1639",496
"2038776",496
"28196",496
"3028312",496
"629",496
"1493",495
"87",495
"232259",493
"2587861",493
"2809031",492
"2925782",492
"227605",491
"104270",490
"1054033",490
"2052660",490
"2596912",490
"64895",490
"1421",489
"1556",489
"246",489
"2750812",488
"285665",488
"3016339",488
"72557",488
"1079",487
"3015149",487
"931099",487
"1162966",486
"28110",486
"3031919",486
"76857",486
"2876939",485
"499555",485
"319707",484
"1763363",483
"1803846",483
"745310",483
"258505",482
"420953",482
"84378",482
"1055323",481
"1916956",481
"2862869",481
"3038924",481
"35806",480
"1393",479
"2712698",479
"3037797",479
"76859",479
"907",479
"412034",478
"202862",477
"1280948",476
"1353889",476
"1775",476
"3003257",476
"1335",475
"2171755",475
"666686",475
"1303",474
"1314",474
"2086577",474
"2058137",473
"2494373",473
"40091",473
"2859226",472
"1915309",471
"1855336",470
"1965231",470
"2765360",470
"2798804",470
"1108",469
"2070369",469
"2802975",469
"28108",469
"29533",469
"546874",469
"83291",469
"2745511",468
"55080",468
"2744474",467
"2930219",467
"454601",467
"1355330",466
"150026",465
"39152",465
"1323375",464
"1631871",464
"1710540",464
"1969",464
"3016087",464
"458032",464
"2704465",463
"3039384",463
"680",463
"1743174",462
"46680",462
"80860",461
"83552",461
"1785161",460
"132132",459
"1519",459
"1536774",459
"106654",458
"129921",458
"244734",458
"2586965",458
"2748319",458
"3059078",458
"1930273",457
"263",457
"2918528",457
"138563",456
"2127060",456
"97084",456
"1498",455
"367791",455
"2045208",454
"2654282",454
"2912824",454
"2527990",453
"2879939",453
"200618",452
"2183896",452
"568768",452
"1542",451
"2926907",451
"482564",451
"84757",451
